# Korg.jl Atmospheric Structure - Arcturus-like (Cool Giant)
# Generated: 2025-10-05 14:04:46
# Parameters: Teff=4250.0K, logg=1.4, [M/H]=-0.5
#
# Layer  Temperature(K)  ElectronDensity(cm⁻³)  NumberDensity(cm⁻³)
    1       2721.44          1.224265e+08          4.326676e+13
    2       2770.20          1.758606e+08          5.695222e+13
    3       2825.52          2.593681e+08          7.528234e+13
    4       2883.28          3.850472e+08          9.924037e+13
    5       2941.56          5.677568e+08          1.295437e+14
    6       2999.66          8.262668e+08          1.668816e+14
    7       3056.60          1.181323e+09          2.121424e+14
    8       3111.90          1.657403e+09          2.665816e+14
    9       3165.10          2.282501e+09          3.320921e+14
   10       3215.94          3.089873e+09          4.113063e+14
   11       3263.94          4.116603e+09          5.079726e+14
   12       3287.62          4.736186e+09          5.641066e+14
   13       3310.46          5.429571e+09          6.264695e+14
   14       3332.72          6.208250e+09          6.958292e+14
   15       3354.64          7.085958e+09          7.730308e+14
   16       3376.10          8.071968e+09          8.590934e+14
   17       3397.34          9.184199e+09          9.550967e+14
   18       3418.42          1.043928e+10          1.062208e+15
   19       3439.56          1.186109e+10          1.181710e+15
   20       3460.84          1.347322e+10          1.314961e+15
   21       3482.60          1.531180e+10          1.463289e+15
   22       3505.08          1.741720e+10          1.628144e+15
   23       3528.64          1.984241e+10          1.810870e+15
   24       3553.62          2.264934e+10          2.012608e+15
   25       3580.32          2.591263e+10          2.234717e+15
   26       3609.36          2.973717e+10          2.477820e+15
   27       3640.98          3.422722e+10          2.742734e+15
   28       3675.74          3.952969e+10          3.030111e+15
   29       3714.18          4.580999e+10          3.339648e+15
   30       3757.34          5.330904e+10          3.670828e+15
   31       3805.08          6.219425e+10          4.024268e+15
   32       3858.30          7.273681e+10          4.399299e+15
   33       3917.54          8.519898e+10          4.796704e+15
   34       3983.38          9.984545e+10          5.217490e+15
   35       4056.50          1.169571e+11          5.664150e+15
   36       4137.68          1.368268e+11          6.140388e+15
   37       4227.82          1.598022e+11          6.651542e+15
   38       4327.84          1.864319e+11          7.203739e+15
   39       4438.82          2.181024e+11          7.802386e+15
   40       4562.20          2.588201e+11          8.445394e+15
   41       4699.04          3.190862e+11          9.113671e+15
   42       4850.90          4.223395e+11          9.756654e+15
   43       5019.22          6.127971e+11          1.030208e+16
   44       5206.14          9.707181e+11          1.068688e+16
   45       5414.06          1.646500e+12          1.088432e+16
   46       5645.60          2.929235e+12          1.090185e+16
   47       5902.88          5.368965e+12          1.076702e+16
   48       6189.66          1.003664e+13          1.050997e+16
   49       6504.50          1.880079e+13          1.016770e+16
   50       6799.68          3.218844e+13          9.843167e+15
   51       7035.74          4.795404e+13          9.603383e+15
   52       7366.46          8.045766e+13          9.324394e+15
   53       7624.28          1.169021e+14          9.156708e+15
   54       7845.18          1.580625e+14          9.055299e+15
   55       8048.26          2.057517e+14          9.000967e+15
   56       8243.46          2.621144e+14          8.986955e+15
