# Korg.jl Reference Spectrum - Arcturus-like (Cool Giant) (Continuum-only)
# Generated: 2025-10-05 14:04:45
# Parameters: Teff=4250.0K, logg=1.4, [M/H]=-0.5
# Synthesis time: 0.65 seconds
# Wavelength range: 5000.0-5020.0 Å (2001 points)
# Line list: 0 lines (continuum only)
#
# Wavelength(Å)    Flux              Continuum         NormalizedFlux
     5000.0000      1.639512e+14      1.639512e+14      1.000000
     5000.0100      1.639514e+14      1.639514e+14      1.000000
     5000.0200      1.639515e+14      1.639515e+14      1.000000
     5000.0300      1.639517e+14      1.639517e+14      1.000000
     5000.0400      1.639519e+14      1.639519e+14      1.000000
     5000.0500      1.639520e+14      1.639520e+14      1.000000
     5000.0600      1.639522e+14      1.639522e+14      1.000000
     5000.0700      1.639523e+14      1.639523e+14      1.000000
     5000.0800      1.639525e+14      1.639525e+14      1.000000
     5000.0900      1.639527e+14      1.639527e+14      1.000000
     5000.1000      1.639528e+14      1.639528e+14      1.000000
     5000.1100      1.639530e+14      1.639530e+14      1.000000
     5000.1200      1.639531e+14      1.639531e+14      1.000000
     5000.1300      1.639533e+14      1.639533e+14      1.000000
     5000.1400      1.639534e+14      1.639534e+14      1.000000
     5000.1500      1.639536e+14      1.639536e+14      1.000000
     5000.1600      1.639538e+14      1.639538e+14      1.000000
     5000.1700      1.639539e+14      1.639539e+14      1.000000
     5000.1800      1.639541e+14      1.639541e+14      1.000000
     5000.1900      1.639542e+14      1.639542e+14      1.000000
     5000.2000      1.639544e+14      1.639544e+14      1.000000
     5000.2100      1.639545e+14      1.639545e+14      1.000000
     5000.2200      1.639547e+14      1.639547e+14      1.000000
     5000.2300      1.639549e+14      1.639549e+14      1.000000
     5000.2400      1.639550e+14      1.639550e+14      1.000000
     5000.2500      1.639552e+14      1.639552e+14      1.000000
     5000.2600      1.639553e+14      1.639553e+14      1.000000
     5000.2700      1.639555e+14      1.639555e+14      1.000000
     5000.2800      1.639556e+14      1.639556e+14      1.000000
     5000.2900      1.639558e+14      1.639558e+14      1.000000
     5000.3000      1.639560e+14      1.639560e+14      1.000000
     5000.3100      1.639561e+14      1.639561e+14      1.000000
     5000.3200      1.639563e+14      1.639563e+14      1.000000
     5000.3300      1.639564e+14      1.639564e+14      1.000000
     5000.3400      1.639566e+14      1.639566e+14      1.000000
     5000.3500      1.639568e+14      1.639568e+14      1.000000
     5000.3600      1.639569e+14      1.639569e+14      1.000000
     5000.3700      1.639571e+14      1.639571e+14      1.000000
     5000.3800      1.639572e+14      1.639572e+14      1.000000
     5000.3900      1.639574e+14      1.639574e+14      1.000000
     5000.4000      1.639575e+14      1.639575e+14      1.000000
     5000.4100      1.639577e+14      1.639577e+14      1.000000
     5000.4200      1.639579e+14      1.639579e+14      1.000000
     5000.4300      1.639580e+14      1.639580e+14      1.000000
     5000.4400      1.639582e+14      1.639582e+14      1.000000
     5000.4500      1.639583e+14      1.639583e+14      1.000000
     5000.4600      1.639585e+14      1.639585e+14      1.000000
     5000.4700      1.639586e+14      1.639586e+14      1.000000
     5000.4800      1.639588e+14      1.639588e+14      1.000000
     5000.4900      1.639590e+14      1.639590e+14      1.000000
     5000.5000      1.639591e+14      1.639591e+14      1.000000
     5000.5100      1.639593e+14      1.639593e+14      1.000000
     5000.5200      1.639594e+14      1.639594e+14      1.000000
     5000.5300      1.639596e+14      1.639596e+14      1.000000
     5000.5400      1.639598e+14      1.639598e+14      1.000000
     5000.5500      1.639599e+14      1.639599e+14      1.000000
     5000.5600      1.639601e+14      1.639601e+14      1.000000
     5000.5700      1.639602e+14      1.639602e+14      1.000000
     5000.5800      1.639604e+14      1.639604e+14      1.000000
     5000.5900      1.639605e+14      1.639605e+14      1.000000
     5000.6000      1.639607e+14      1.639607e+14      1.000000
     5000.6100      1.639609e+14      1.639609e+14      1.000000
     5000.6200      1.639610e+14      1.639610e+14      1.000000
     5000.6300      1.639612e+14      1.639612e+14      1.000000
     5000.6400      1.639613e+14      1.639613e+14      1.000000
     5000.6500      1.639615e+14      1.639615e+14      1.000000
     5000.6600      1.639616e+14      1.639616e+14      1.000000
     5000.6700      1.639618e+14      1.639618e+14      1.000000
     5000.6800      1.639620e+14      1.639620e+14      1.000000
     5000.6900      1.639621e+14      1.639621e+14      1.000000
     5000.7000      1.639623e+14      1.639623e+14      1.000000
     5000.7100      1.639624e+14      1.639624e+14      1.000000
     5000.7200      1.639626e+14      1.639626e+14      1.000000
     5000.7300      1.639627e+14      1.639627e+14      1.000000
     5000.7400      1.639629e+14      1.639629e+14      1.000000
     5000.7500      1.639631e+14      1.639631e+14      1.000000
     5000.7600      1.639632e+14      1.639632e+14      1.000000
     5000.7700      1.639634e+14      1.639634e+14      1.000000
     5000.7800      1.639635e+14      1.639635e+14      1.000000
     5000.7900      1.639637e+14      1.639637e+14      1.000000
     5000.8000      1.639639e+14      1.639639e+14      1.000000
     5000.8100      1.639640e+14      1.639640e+14      1.000000
     5000.8200      1.639642e+14      1.639642e+14      1.000000
     5000.8300      1.639643e+14      1.639643e+14      1.000000
     5000.8400      1.639645e+14      1.639645e+14      1.000000
     5000.8500      1.639646e+14      1.639646e+14      1.000000
     5000.8600      1.639648e+14      1.639648e+14      1.000000
     5000.8700      1.639650e+14      1.639650e+14      1.000000
     5000.8800      1.639651e+14      1.639651e+14      1.000000
     5000.8900      1.639653e+14      1.639653e+14      1.000000
     5000.9000      1.639654e+14      1.639654e+14      1.000000
     5000.9100      1.639656e+14      1.639656e+14      1.000000
     5000.9200      1.639657e+14      1.639657e+14      1.000000
     5000.9300      1.639659e+14      1.639659e+14      1.000000
     5000.9400      1.639661e+14      1.639661e+14      1.000000
     5000.9500      1.639662e+14      1.639662e+14      1.000000
     5000.9600      1.639664e+14      1.639664e+14      1.000000
     5000.9700      1.639665e+14      1.639665e+14      1.000000
     5000.9800      1.639667e+14      1.639667e+14      1.000000
     5000.9900      1.639668e+14      1.639668e+14      1.000000
     5001.0000      1.639670e+14      1.639670e+14      1.000000
     5001.0100      1.639671e+14      1.639671e+14      1.000000
     5001.0200      1.639672e+14      1.639672e+14      1.000000
     5001.0300      1.639673e+14      1.639673e+14      1.000000
     5001.0400      1.639674e+14      1.639674e+14      1.000000
     5001.0500      1.639675e+14      1.639675e+14      1.000000
     5001.0600      1.639676e+14      1.639676e+14      1.000000
     5001.0700      1.639677e+14      1.639677e+14      1.000000
     5001.0800      1.639677e+14      1.639677e+14      1.000000
     5001.0900      1.639678e+14      1.639678e+14      1.000000
     5001.1000      1.639679e+14      1.639679e+14      1.000000
     5001.1100      1.639680e+14      1.639680e+14      1.000000
     5001.1200      1.639681e+14      1.639681e+14      1.000000
     5001.1300      1.639682e+14      1.639682e+14      1.000000
     5001.1400      1.639683e+14      1.639683e+14      1.000000
     5001.1500      1.639684e+14      1.639684e+14      1.000000
     5001.1600      1.639685e+14      1.639685e+14      1.000000
     5001.1700      1.639686e+14      1.639686e+14      1.000000
     5001.1800      1.639687e+14      1.639687e+14      1.000000
     5001.1900      1.639688e+14      1.639688e+14      1.000000
     5001.2000      1.639689e+14      1.639689e+14      1.000000
     5001.2100      1.639690e+14      1.639690e+14      1.000000
     5001.2200      1.639690e+14      1.639690e+14      1.000000
     5001.2300      1.639691e+14      1.639691e+14      1.000000
     5001.2400      1.639692e+14      1.639692e+14      1.000000
     5001.2500      1.639693e+14      1.639693e+14      1.000000
     5001.2600      1.639694e+14      1.639694e+14      1.000000
     5001.2700      1.639695e+14      1.639695e+14      1.000000
     5001.2800      1.639696e+14      1.639696e+14      1.000000
     5001.2900      1.639697e+14      1.639697e+14      1.000000
     5001.3000      1.639698e+14      1.639698e+14      1.000000
     5001.3100      1.639699e+14      1.639699e+14      1.000000
     5001.3200      1.639700e+14      1.639700e+14      1.000000
     5001.3300      1.639701e+14      1.639701e+14      1.000000
     5001.3400      1.639702e+14      1.639702e+14      1.000000
     5001.3500      1.639703e+14      1.639703e+14      1.000000
     5001.3600      1.639704e+14      1.639704e+14      1.000000
     5001.3700      1.639704e+14      1.639704e+14      1.000000
     5001.3800      1.639705e+14      1.639705e+14      1.000000
     5001.3900      1.639706e+14      1.639706e+14      1.000000
     5001.4000      1.639707e+14      1.639707e+14      1.000000
     5001.4100      1.639708e+14      1.639708e+14      1.000000
     5001.4200      1.639709e+14      1.639709e+14      1.000000
     5001.4300      1.639710e+14      1.639710e+14      1.000000
     5001.4400      1.639711e+14      1.639711e+14      1.000000
     5001.4500      1.639712e+14      1.639712e+14      1.000000
     5001.4600      1.639713e+14      1.639713e+14      1.000000
     5001.4700      1.639714e+14      1.639714e+14      1.000000
     5001.4800      1.639715e+14      1.639715e+14      1.000000
     5001.4900      1.639716e+14      1.639716e+14      1.000000
     5001.5000      1.639717e+14      1.639717e+14      1.000000
     5001.5100      1.639717e+14      1.639717e+14      1.000000
     5001.5200      1.639718e+14      1.639718e+14      1.000000
     5001.5300      1.639719e+14      1.639719e+14      1.000000
     5001.5400      1.639720e+14      1.639720e+14      1.000000
     5001.5500      1.639721e+14      1.639721e+14      1.000000
     5001.5600      1.639722e+14      1.639722e+14      1.000000
     5001.5700      1.639723e+14      1.639723e+14      1.000000
     5001.5800      1.639724e+14      1.639724e+14      1.000000
     5001.5900      1.639725e+14      1.639725e+14      1.000000
