# Korg.jl Opacity Matrix - Arcturus-like (Cool Giant)
# Generated: 2025-09-30 21:15:41
# Matrix shape: (56, 2001) (layers × wavelengths)
# Opacity range: 4.3247751619694524e-14 - 4.870324292205704e-8 cm⁻¹
#
# Layer    MinOpacity      MaxOpacity      MeanOpacity
    1    4.324775e-14    4.392519e-14    4.358620e-14
    2    5.804674e-14    5.893493e-14    5.849101e-14
    3    7.883331e-14    8.000089e-14    7.941848e-14
    4    1.077291e-13    1.092566e-13    1.084970e-13
    5    1.472249e-13    1.491990e-13    1.482219e-13
    6    2.006684e-13    2.031794e-13    2.019454e-13
    7    2.727666e-13    2.759086e-13    2.743804e-13
    8    3.702909e-13    3.741644e-13    3.723083e-13
    9    5.031842e-13    5.078996e-13    5.056865e-13
   10    6.859343e-13    6.915986e-13    6.889995e-13
   11    9.401714e-13    9.469055e-13    9.439049e-13
   12    1.103788e-12    1.111098e-12    1.107900e-12
   13    1.298286e-12    1.306200e-12    1.302811e-12
   14    1.530294e-12    1.538835e-12    1.535267e-12
   15    1.807971e-12    1.817153e-12    1.813429e-12
   16    2.140959e-12    2.151115e-12    2.146942e-12
   17    2.541598e-12    2.552951e-12    2.548145e-12
   18    3.024563e-12    3.037261e-12    3.031714e-12
   19    3.608352e-12    3.622562e-12    3.616147e-12
   20    4.315040e-12    4.330953e-12    4.323514e-12
   21    5.172169e-12    5.190007e-12    5.181355e-12
   22    6.213347e-12    6.233371e-12    6.223273e-12
   23    7.479583e-12    7.502108e-12    7.490271e-12
   24    9.019300e-12    9.044712e-12    9.030766e-12
   25    1.089231e-11    1.092110e-11    1.090457e-11
   26    1.316887e-11    1.320165e-11    1.318194e-11
   27    1.592969e-11    1.596751e-11    1.594383e-11
   28    1.927249e-11    1.931846e-11    1.928861e-11
   29    2.329943e-11    2.335811e-11    2.331995e-11
   30    2.813428e-11    2.820921e-11    2.816042e-11
   31    3.389291e-11    3.399011e-11    3.392790e-11
   32    4.069654e-11    4.082206e-11    4.074309e-11
   33    4.866340e-11    4.882342e-11    4.872390e-11
   34    5.788745e-11    5.808824e-11    5.796441e-11
   35    6.841909e-11    6.865689e-11    6.851380e-11
   36    8.033564e-11    8.061202e-11    8.045009e-11
   37    9.370296e-11    9.401821e-11    9.383898e-11
   38    1.086727e-10    1.090263e-10    1.088321e-10
   39    1.258191e-10    1.262117e-10    1.260045e-10
   40    1.469598e-10    1.473974e-10    1.471768e-10
   41    1.769782e-10    1.774815e-10    1.772411e-10
   42    2.260216e-10    2.266394e-10    2.263621e-10
   43    3.109584e-10    3.117790e-10    3.114356e-10
   44    4.553924e-10    4.565347e-10    4.561104e-10
   45    6.982915e-10    7.000172e-10    6.994187e-10
   46    1.101859e-09    1.104743e-09    1.103668e-09
   47    1.765826e-09    1.770645e-09    1.768765e-09
   48    2.859320e-09    2.867419e-09    2.864159e-09
   49    4.619612e-09    4.633793e-09    4.627812e-09
   50    7.018081e-09    7.041881e-09    7.031423e-09
   51    9.677967e-09    9.713752e-09    9.697634e-09
   52    1.504453e-08    1.510798e-08    1.507862e-08
   53    2.116208e-08    2.126140e-08    2.121471e-08
   54    2.837618e-08    2.852200e-08    2.845268e-08
   55    3.722580e-08    3.743373e-08    3.733391e-08
   56    4.841132e-08    4.870324e-08    4.856188e-08
