# Korg.jl With-Lines Opacity Matrix - Arcturus-like (Cool Giant)
# Generated: 2025-10-05 14:04:46
# Matrix shape: (56, 2001) (layers × wavelengths)
# Opacity range: 4.39545350139414e-14 - 5.005747776518588e-6 cm⁻¹
#
# Layer    MinOpacity      MaxOpacity      MeanOpacity
    1    4.395454e-14    5.289699e-09    4.975513e-11
    2    5.892526e-14    7.314974e-09    6.177837e-11
    3    7.991988e-14    1.017910e-08    7.631233e-11
    4    1.090818e-13    1.408646e-08    9.441780e-11
    5    1.489192e-13    1.920743e-08    1.165449e-10
    6    2.028046e-13    2.569577e-08    1.429592e-10
    7    2.754930e-13    3.370398e-08    1.743516e-10
    8    3.738274e-13    4.342267e-08    2.116983e-10
    9    5.078571e-13    5.513635e-08    2.566267e-10
   10    6.922124e-13    6.926371e-08    3.114092e-10
   11    9.487222e-13    8.645715e-08    3.796025e-10
   12    1.113751e-12    9.640594e-08    4.193474e-10
   13    1.309603e-12    1.074629e-07    4.642097e-10
   14    1.543197e-12    1.197669e-07    5.147431e-10
   15    1.822726e-12    1.334648e-07    5.715402e-10
   16    2.157895e-12    1.487594e-07    6.356759e-10
   17    2.561095e-12    1.658364e-07    7.079389e-10
   18    3.047084e-12    1.849069e-07    7.893500e-10
   19    3.634449e-12    2.061741e-07    8.808024e-10
   20    4.345361e-12    2.298579e-07    9.833694e-10
   21    5.207498e-12    2.560975e-07    1.097577e-09
   22    6.254618e-12    2.850196e-07    1.223990e-09
   23    7.527889e-12    3.166246e-07    1.362537e-09
   24    9.075960e-12    3.507577e-07    1.512541e-09
   25    1.095891e-11    3.871697e-07    1.673121e-09
   26    1.324725e-11    4.250988e-07    1.841118e-09
   27    1.602234e-11    4.636816e-07    2.013722e-09
   28    1.938298e-11    5.014784e-07    2.186048e-09
   29    2.342841e-11    5.363487e-07    2.351046e-09
   30    2.828198e-11    5.650535e-07    2.497977e-09
   31    3.406257e-11    5.851189e-07    2.620779e-09
   32    4.089004e-11    5.925877e-07    2.707118e-09
   33    4.888139e-11    5.843265e-07    2.747821e-09
   34    5.811856e-11    5.582038e-07    2.735979e-09
   35    6.864402e-11    5.141110e-07    2.670248e-09
   36    8.054875e-11    4.545444e-07    2.557243e-09
   37    9.389996e-11    3.846506e-07    2.413433e-09
   38    1.088513e-10    3.114677e-07    2.265531e-09
   39    1.259786e-10    2.423210e-07    2.148887e-09
   40    1.471014e-10    2.921428e-07    2.105134e-09
   41    1.771059e-10    3.893172e-07    2.181697e-09
   42    2.261419e-10    5.146701e-07    2.419676e-09
   43    3.110785e-10    6.720781e-07    2.846856e-09
   44    4.555191e-10    8.647759e-07    3.482535e-09
   45    6.984318e-10    1.096193e-06    4.361671e-09
   46    1.102023e-09    1.370496e-06    5.549838e-09
   47    1.766041e-09    1.691432e-06    7.154679e-09
   48    2.859660e-09    2.063493e-06    9.359939e-09
   49    4.620371e-09    2.482364e-06    1.239571e-08
   50    7.019865e-09    2.882480e-06    1.603790e-08
   51    9.682155e-09    3.207449e-06    1.972846e-08
   52    1.505707e-08    3.674286e-06    2.661206e-08
   53    2.119032e-08    4.047658e-06    3.397804e-08
   54    2.843531e-08    4.377350e-06    4.232754e-08
   55    3.733505e-08    4.691353e-06    5.229080e-08
   56    4.859561e-08    5.005748e-06    6.462555e-08
