# Korg.jl Reference Spectrum - Arcturus-like (Cool Giant) (With Lines)
# Generated: 2025-10-05 14:04:46
# Parameters: Teff=4250.0K, logg=1.4, [M/H]=-0.5
# Synthesis time: 0.28 seconds
# Wavelength range: 5000.0-5020.0 Å (2001 points)
# Line list: 41821 lines
#
# Wavelength(Å)    Flux              Continuum         NormalizedFlux
     5000.0000      1.626823e+14      1.633656e+14      0.995817
     5000.0100      1.626849e+14      1.633657e+14      0.995832
     5000.0200      1.626783e+14      1.633659e+14      0.995791
     5000.0300      1.626695e+14      1.633661e+14      0.995736
     5000.0400      1.626672e+14      1.633662e+14      0.995721
     5000.0500      1.626388e+14      1.633664e+14      0.995546
     5000.0600      1.625781e+14      1.633665e+14      0.995174
     5000.0700      1.623171e+14      1.633667e+14      0.993575
     5000.0800      1.613201e+14      1.633668e+14      0.987472
     5000.0900      1.585385e+14      1.633670e+14      0.970444
     5000.1000      1.530903e+14      1.633672e+14      0.937093
     5000.1100      1.463424e+14      1.633673e+14      0.895788
     5000.1200      1.419388e+14      1.633675e+14      0.868831
     5000.1300      1.427669e+14      1.633676e+14      0.873899
     5000.1400      1.482506e+14      1.633678e+14      0.907465
     5000.1500      1.548942e+14      1.633680e+14      0.948131
     5000.1600      1.595177e+14      1.633681e+14      0.976431
     5000.1700      1.616149e+14      1.633683e+14      0.989268
     5000.1800      1.622608e+14      1.633684e+14      0.993220
     5000.1900      1.623894e+14      1.633686e+14      0.994006
     5000.2000      1.623908e+14      1.633687e+14      0.994014
     5000.2100      1.623749e+14      1.633689e+14      0.993915
     5000.2200      1.623461e+14      1.633691e+14      0.993738
     5000.2300      1.623160e+14      1.633692e+14      0.993553
     5000.2400      1.622846e+14      1.633694e+14      0.993360
     5000.2500      1.622517e+14      1.633695e+14      0.993157
     5000.2600      1.622172e+14      1.633697e+14      0.992945
     5000.2700      1.621810e+14      1.633699e+14      0.992723
     5000.2800      1.621431e+14      1.633700e+14      0.992490
     5000.2900      1.621032e+14      1.633702e+14      0.992245
     5000.3000      1.620614e+14      1.633703e+14      0.991988
     5000.3100      1.620174e+14      1.633705e+14      0.991718
     5000.3200      1.619711e+14      1.633706e+14      0.991433
     5000.3300      1.618937e+14      1.633708e+14      0.990958
     5000.3400      1.618386e+14      1.633710e+14      0.990620
     5000.3500      1.617799e+14      1.633711e+14      0.990260
     5000.3600      1.617172e+14      1.633713e+14      0.989875
     5000.3700      1.616499e+14      1.633714e+14      0.989462
     5000.3800      1.615772e+14      1.633716e+14      0.989016
     5000.3900      1.614980e+14      1.633717e+14      0.988531
     5000.4000      1.614112e+14      1.633719e+14      0.987999
     5000.4100      1.613143e+14      1.633721e+14      0.987404
     5000.4200      1.611999e+14      1.633722e+14      0.986704
     5000.4300      1.610292e+14      1.633724e+14      0.985657
     5000.4400      1.605099e+14      1.633725e+14      0.982478
     5000.4500      1.579003e+14      1.633727e+14      0.966503
     5000.4600      1.466715e+14      1.633729e+14      0.897771
     5000.4700      1.171206e+14      1.633730e+14      0.716891
     5000.4800      7.911716e+13      1.633732e+14      0.484273
     5000.4900      5.544297e+13      1.633733e+14      0.339364
     5000.5000      4.616668e+13      1.633735e+14      0.282584
     5000.5100      4.506884e+13      1.633736e+14      0.275864
     5000.5200      5.124793e+13      1.633738e+14      0.313685
     5000.5300      6.936300e+13      1.633740e+14      0.424566
     5000.5400      1.040178e+14      1.633741e+14      0.636684
