# Korg.jl Atmospheric Structure - Metal-poor K Giant
# Generated: 2025-10-05 14:04:46
# Parameters: Teff=4500.0K, logg=1.5, [M/H]=-2.5
#
# Layer  Temperature(K)  ElectronDensity(cm⁻³)  NumberDensity(cm⁻³)
    1       2985.80          2.781956e+07          1.435639e+14
    2       3062.20          4.223852e+07          1.987356e+14
    3       3146.90          6.262910e+07          2.680234e+14
    4       3228.40          8.999962e+07          3.568535e+14
    5       3303.80          1.265230e+08          4.720927e+14
    6       3371.40          1.755730e+08          6.226575e+14
    7       3430.80          2.417424e+08          8.194457e+14
    8       3482.90          3.307119e+08          1.075433e+15
    9       3527.80          4.484511e+08          1.407061e+15
   10       3567.30          6.025471e+08          1.834384e+15
   11       3603.20          8.028704e+08          2.381824e+15
   12       3618.50          9.212752e+08          2.711840e+15
   13       3634.00          1.056896e+09          3.084744e+15
   14       3648.90          1.210097e+09          3.506063e+15
   15       3663.60          1.383912e+09          3.981492e+15
   16       3678.10          1.580851e+09          4.517580e+15
   17       3692.70          1.804811e+09          5.120906e+15
   18       3707.50          2.059851e+09          5.799073e+15
   19       3722.70          2.351235e+09          6.559865e+15
   20       3738.70          2.686642e+09          7.410735e+15
   21       3755.50          3.073160e+09          8.359844e+15
   22       3773.60          3.523492e+09          9.414189e+15
   23       3793.20          4.051681e+09          1.058014e+16
   24       3814.70          4.678543e+09          1.186249e+16
   25       3838.30          5.429442e+09          1.326373e+16
   26       3864.40          6.341995e+09          1.478243e+16
   27       3893.40          7.469204e+09          1.641248e+16
   28       3925.70          8.886694e+09          1.814162e+16
   29       3961.80          1.070718e+10          1.994931e+16
   30       4002.00          1.308945e+10          2.181038e+16
   31       4046.80          1.627644e+10          2.368985e+16
   32       4097.00          2.065525e+10          2.554049e+16
   33       4153.40          2.683239e+10          2.731068e+16
   34       4216.30          3.570244e+10          2.895441e+16
   35       4286.80          4.879184e+10          3.041953e+16
   36       4366.10          6.864261e+10          3.165871e+16
   37       4455.00          9.938883e+10          3.264137e+16
   38       4555.30          1.484868e+11          3.334095e+16
   39       4668.30          2.287906e+11          3.375031e+16
   40       4796.30          3.642645e+11          3.386431e+16
   41       4944.70          6.055890e+11          3.367122e+16
   42       5127.50          1.085967e+12          3.310509e+16
   43       5326.30          1.957409e+12          3.233859e+16
   44       5511.20          3.260598e+12          3.161635e+16
   45       5678.60          5.031576e+12          3.098414e+16
   46       5831.40          7.318690e+12          3.043555e+16
   47       5972.40          1.017192e+13          2.995957e+16
   48       6103.90          1.364457e+13          2.954306e+16
   49       6228.40          1.782119e+13          2.917583e+16
   50       6347.50          2.279204e+13          2.884868e+16
   51       6462.30          2.865565e+13          2.855809e+16
   52       6677.30          4.313140e+13          2.809518e+16
   53       6889.50          6.306313e+13          2.771981e+16
   54       7100.40          9.006801e+13          2.742886e+16
   55       7311.30          1.261970e+14          2.722216e+16
   56       7522.70          1.738918e+14          2.710424e+16
