# Korg.jl Reference Spectrum - Metal-poor K Giant (Continuum-only)
# Generated: 2025-10-05 14:04:46
# Parameters: Teff=4500.0K, logg=1.5, [M/H]=-2.5
# Synthesis time: 0.11 seconds
# Wavelength range: 5000.0-5020.0 Å (2001 points)
# Line list: 0 lines (continuum only)
#
# Wavelength(Å)    Flux              Continuum         NormalizedFlux
     5000.0000      1.802589e+14      1.802589e+14      1.000000
     5000.0100      1.802595e+14      1.802595e+14      1.000000
     5000.0200      1.802601e+14      1.802601e+14      1.000000
     5000.0300      1.802608e+14      1.802608e+14      1.000000
     5000.0400      1.802614e+14      1.802614e+14      1.000000
     5000.0500      1.802620e+14      1.802620e+14      1.000000
     5000.0600      1.802626e+14      1.802626e+14      1.000000
     5000.0700      1.802633e+14      1.802633e+14      1.000000
     5000.0800      1.802639e+14      1.802639e+14      1.000000
     5000.0900      1.802645e+14      1.802645e+14      1.000000
     5000.1000      1.802651e+14      1.802651e+14      1.000000
     5000.1100      1.802658e+14      1.802658e+14      1.000000
     5000.1200      1.802664e+14      1.802664e+14      1.000000
     5000.1300      1.802670e+14      1.802670e+14      1.000000
     5000.1400      1.802676e+14      1.802676e+14      1.000000
     5000.1500      1.802683e+14      1.802683e+14      1.000000
     5000.1600      1.802689e+14      1.802689e+14      1.000000
     5000.1700      1.802695e+14      1.802695e+14      1.000000
     5000.1800      1.802701e+14      1.802701e+14      1.000000
     5000.1900      1.802708e+14      1.802708e+14      1.000000
     5000.2000      1.802714e+14      1.802714e+14      1.000000
     5000.2100      1.802720e+14      1.802720e+14      1.000000
     5000.2200      1.802726e+14      1.802726e+14      1.000000
     5000.2300      1.802733e+14      1.802733e+14      1.000000
     5000.2400      1.802739e+14      1.802739e+14      1.000000
     5000.2500      1.802745e+14      1.802745e+14      1.000000
     5000.2600      1.802751e+14      1.802751e+14      1.000000
     5000.2700      1.802758e+14      1.802758e+14      1.000000
     5000.2800      1.802764e+14      1.802764e+14      1.000000
     5000.2900      1.802770e+14      1.802770e+14      1.000000
     5000.3000      1.802776e+14      1.802776e+14      1.000000
     5000.3100      1.802783e+14      1.802783e+14      1.000000
     5000.3200      1.802789e+14      1.802789e+14      1.000000
     5000.3300      1.802795e+14      1.802795e+14      1.000000
     5000.3400      1.802801e+14      1.802801e+14      1.000000
     5000.3500      1.802808e+14      1.802808e+14      1.000000
     5000.3600      1.802814e+14      1.802814e+14      1.000000
     5000.3700      1.802820e+14      1.802820e+14      1.000000
     5000.3800      1.802826e+14      1.802826e+14      1.000000
     5000.3900      1.802833e+14      1.802833e+14      1.000000
     5000.4000      1.802839e+14      1.802839e+14      1.000000
     5000.4100      1.802845e+14      1.802845e+14      1.000000
     5000.4200      1.802851e+14      1.802851e+14      1.000000
     5000.4300      1.802858e+14      1.802858e+14      1.000000
     5000.4400      1.802864e+14      1.802864e+14      1.000000
     5000.4500      1.802870e+14      1.802870e+14      1.000000
     5000.4600      1.802876e+14      1.802876e+14      1.000000
     5000.4700      1.802883e+14      1.802883e+14      1.000000
     5000.4800      1.802889e+14      1.802889e+14      1.000000
     5000.4900      1.802895e+14      1.802895e+14      1.000000
     5000.5000      1.802901e+14      1.802901e+14      1.000000
     5000.5100      1.802907e+14      1.802907e+14      1.000000
     5000.5200      1.802914e+14      1.802914e+14      1.000000
     5000.5300      1.802920e+14      1.802920e+14      1.000000
     5000.5400      1.802926e+14      1.802926e+14      1.000000
     5000.5500      1.802932e+14      1.802932e+14      1.000000
     5000.5600      1.802939e+14      1.802939e+14      1.000000
     5000.5700      1.802945e+14      1.802945e+14      1.000000
     5000.5800      1.802951e+14      1.802951e+14      1.000000
