# Korg.jl Continuum-Only Opacity Matrix - Metal-poor K Giant
# Generated: 2025-10-05 14:04:46
# Matrix shape: (56, 2001) (layers × wavelengths)
# Opacity range: 1.3609714022347574e-13 - 8.560956048631224e-8 cm⁻¹
#
# Layer    MinOpacity      MaxOpacity      MeanOpacity
    1    1.360971e-13    1.383731e-13    1.372312e-13
    2    1.890713e-13    1.922200e-13    1.906402e-13
    3    2.560850e-13    2.603285e-13    2.581995e-13
    4    3.426770e-13    3.483214e-13    3.454895e-13
    5    4.560993e-13    4.635569e-13    4.598153e-13
    6    6.061728e-13    6.159919e-13    6.110656e-13
    7    8.056246e-13    8.185175e-13    8.120491e-13
    8    1.070762e-12    1.087632e-12    1.079168e-12
    9    1.423690e-12    1.445674e-12    1.434645e-12
   10    1.893876e-12    1.922392e-12    1.908086e-12
   11    2.521168e-12    2.557957e-12    2.539502e-12
   12    2.911862e-12    2.953590e-12    2.932657e-12
   13    3.365262e-12    3.412525e-12    3.388816e-12
   14    3.892100e-12    3.945562e-12    3.918744e-12
   15    4.505245e-12    4.565630e-12    4.535340e-12
   16    5.220079e-12    5.288183e-12    5.254022e-12
   17    6.054570e-12    6.131247e-12    6.092787e-12
   18    7.030652e-12    7.116823e-12    7.073603e-12
   19    8.174336e-12    8.270977e-12    8.222507e-12
   20    9.516734e-12    9.624850e-12    9.570627e-12
   21    1.109493e-11    1.121555e-11    1.115506e-11
   22    1.295495e-11    1.308906e-11    1.302181e-11
   23    1.515203e-11    1.530057e-11    1.522608e-11
   24    1.775646e-11    1.792019e-11    1.783809e-11
   25    2.085460e-11    2.103404e-11    2.094407e-11
   26    2.455909e-11    2.475434e-11    2.465646e-11
   27    2.901919e-11    2.922973e-11    2.912419e-11
   28    3.443684e-11    3.466123e-11    3.454876e-11
   29    4.109501e-11    4.133050e-11    4.121249e-11
   30    4.939241e-11    4.963444e-11    4.951318e-11
   31    5.990787e-11    6.014929e-11    6.002835e-11
   32    7.350886e-11    7.373883e-11    7.362365e-11
   33    9.150495e-11    9.170737e-11    9.160603e-11
   34    1.156922e-10    1.158436e-10    1.157679e-10
   35    1.487345e-10    1.487991e-10    1.487669e-10
   36    1.951624e-10    1.952353e-10    1.951992e-10
   37    2.615208e-10    2.618057e-10    2.616638e-10
   38    3.586927e-10    3.593018e-10    3.589983e-10
   39    5.033170e-10    5.044195e-10    5.038699e-10
   40    7.230402e-10    7.248999e-10    7.239726e-10
   41    1.070681e-09    1.073741e-09    1.072215e-09
   42    1.666682e-09    1.671834e-09    1.669264e-09
   43    2.590984e-09    2.599428e-09    2.595214e-09
   44    3.797994e-09    3.810736e-09    3.804375e-09
   45    5.259051e-09    5.277012e-09    5.268045e-09
   46    6.969608e-09    6.993709e-09    6.981675e-09
   47    8.932383e-09    8.963586e-09    8.948005e-09
   48    1.115488e-08    1.119420e-08    1.117456e-08
   49    1.366601e-08    1.371463e-08    1.369035e-08
   50    1.647765e-08    1.653696e-08    1.650734e-08
   51    1.961117e-08    1.968280e-08    1.964703e-08
   52    2.690402e-08    2.700526e-08    2.695469e-08
   53    3.633281e-08    3.647428e-08    3.640362e-08
   54    4.854288e-08    4.873957e-08    4.864132e-08
   55    6.443751e-08    6.471089e-08    6.457433e-08
   56    8.522875e-08    8.560956e-08    8.541933e-08
