# Korg.jl With-Lines Opacity Matrix - Metal-poor K Giant
# Generated: 2025-10-05 14:04:46
# Matrix shape: (56, 2001) (layers × wavelengths)
# Opacity range: 1.361778092088322e-13 - 1.9933545349260062e-7 cm⁻¹
#
# Layer    MinOpacity      MaxOpacity      MeanOpacity
    1    1.361778e-13    7.795044e-11    3.455124e-13
    2    1.891956e-13    8.768205e-11    4.298636e-13
    3    2.562687e-13    8.871858e-11    5.092940e-13
    4    3.429438e-13    8.864186e-11    6.098753e-13
    5    4.564789e-13    9.130205e-11    7.504470e-13
    6    6.067061e-13    9.949697e-11    9.509942e-13
    7    8.063694e-13    1.154670e-10    1.234265e-12
    8    1.071792e-12    1.413893e-10    1.627901e-12
    9    1.425039e-12    1.814253e-10    2.172470e-12
   10    1.895626e-12    2.400340e-10    2.919620e-12
   11    2.523426e-12    3.229777e-10    3.938809e-12
   12    2.914423e-12    3.792507e-10    4.589347e-12
   13    3.368162e-12    4.445955e-10    5.347729e-12
   14    3.895380e-12    5.221799e-10    6.236563e-12
   15    4.508949e-12    6.132989e-10    7.276771e-12
   16    5.224257e-12    7.202872e-10    8.495194e-12
   17    6.059273e-12    8.446912e-10    9.920075e-12
   18    7.035937e-12    9.887235e-10    1.158644e-11
   19    8.180262e-12    1.154139e-09    1.353326e-11
   20    9.523363e-12    1.341258e-09    1.580199e-11
   21    1.110233e-11    1.551804e-09    1.844485e-11
   22    1.296317e-11    1.784051e-09    2.151548e-11
   23    1.516113e-11    2.036724e-09    2.507903e-11
   24    1.776649e-11    2.306120e-09    2.921117e-11
   25    2.086559e-11    2.588647e-09    3.400516e-11
   26    2.457105e-11    2.878092e-09    3.957573e-11
   27    2.903207e-11    3.167366e-09    4.607444e-11
   28    3.445056e-11    3.449034e-09    5.370758e-11
   29    4.110940e-11    3.714918e-09    6.276441e-11
   30    4.940718e-11    3.960344e-09    7.366431e-11
   31    5.992257e-11    4.179750e-09    8.700989e-11
   32    7.352283e-11    4.365822e-09    1.036949e-10
   33    9.151719e-11    5.013359e-09    1.250713e-10
   34    1.157013e-10    5.954044e-09    1.529950e-10
   35    1.487381e-10    7.074980e-09    1.901949e-10
   36    1.951626e-10    8.416445e-09    2.413611e-10
   37    2.615212e-10    1.002407e-08    3.132093e-10
   38    3.586935e-10    1.196864e-08    4.167453e-10
   39    5.033185e-10    1.433325e-08    5.688398e-10
   40    7.230432e-10    1.724038e-08    7.974714e-10
   41    1.070688e-09    2.092124e-08    1.156090e-09
   42    1.666697e-09    2.590853e-08    1.766596e-09
   43    2.591020e-09    3.200803e-08    2.708394e-09
   44    3.798068e-09    3.843410e-08    3.933664e-09
   45    5.259195e-09    4.494994e-08    5.413077e-09
   46    6.969864e-09    5.153814e-08    7.142042e-09
   47    8.932808e-09    5.821933e-08    9.123351e-09
   48    1.115558e-08    6.502274e-08    1.136462e-08
   49    1.366714e-08    7.202936e-08    1.389502e-08
   50    1.647939e-08    7.927998e-08    1.672665e-08
   51    1.961376e-08    8.682198e-08    1.988111e-08
   52    2.690981e-08    1.027494e-07    2.721888e-08
   53    3.634556e-08    1.211281e-07    3.670145e-08
   54    4.856861e-08    1.426565e-07    4.897784e-08
   55    6.449189e-08    1.683035e-07    6.496035e-08
   56    8.534381e-08    1.993355e-07    8.587521e-08
