# Korg.jl Reference Spectrum - Metal-poor K Giant (With Lines)
# Generated: 2025-10-05 14:04:46
# Parameters: Teff=4500.0K, logg=1.5, [M/H]=-2.5
# Synthesis time: 0.12 seconds
# Wavelength range: 5000.0-5020.0 Å (2001 points)
# Line list: 41821 lines
#
# Wavelength(Å)    Flux              Continuum         NormalizedFlux
     5000.0000      1.802584e+14      1.802589e+14      0.999998
     5000.0100      1.802591e+14      1.802595e+14      0.999998
     5000.0200      1.802597e+14      1.802601e+14      0.999998
     5000.0300      1.802603e+14      1.802608e+14      0.999998
     5000.0400      1.802609e+14      1.802614e+14      0.999998
     5000.0500      1.802616e+14      1.802620e+14      0.999998
     5000.0600      1.802622e+14      1.802626e+14      0.999998
     5000.0700      1.802628e+14      1.802633e+14      0.999998
     5000.0800      1.802634e+14      1.802639e+14      0.999998
     5000.0900      1.802641e+14      1.802645e+14      0.999998
     5000.1000      1.802188e+14      1.802651e+14      0.999743
     5000.1100      1.801868e+14      1.802658e+14      0.999562
     5000.1200      1.801654e+14      1.802664e+14      0.999440
     5000.1300      1.801703e+14      1.802670e+14      0.999464
     5000.1400      1.801983e+14      1.802676e+14      0.999615
     5000.1500      1.802308e+14      1.802683e+14      0.999792
     5000.1600      1.802684e+14      1.802689e+14      0.999998
     5000.1700      1.802691e+14      1.802695e+14      0.999998
     5000.1800      1.802697e+14      1.802701e+14      0.999998
     5000.1900      1.802703e+14      1.802708e+14      0.999998
     5000.2000      1.802709e+14      1.802714e+14      0.999998
     5000.2100      1.802716e+14      1.802720e+14      0.999998
     5000.2200      1.802722e+14      1.802726e+14      0.999998
     5000.2300      1.802728e+14      1.802733e+14      0.999998
     5000.2400      1.802734e+14      1.802739e+14      0.999998
     5000.2500      1.802741e+14      1.802745e+14      0.999998
     5000.2600      1.802747e+14      1.802751e+14      0.999998
     5000.2700      1.802753e+14      1.802758e+14      0.999998
     5000.2800      1.802759e+14      1.802764e+14      0.999998
     5000.2900      1.802766e+14      1.802770e+14      0.999998
     5000.3000      1.802772e+14      1.802776e+14      0.999998
