# Korg.jl Atmospheric Structure - Solar-like
# Generated: 2025-10-05 14:04:44
# Parameters: Teff=5771.0K, logg=4.44, [M/H]=0.0
#
# Layer  Temperature(K)  ElectronDensity(cm⁻³)  NumberDensity(cm⁻³)
    1       4061.72          3.870655e+10          4.764728e+14
    2       4097.48          4.950505e+10          6.121502e+14
    3       4140.87          6.340679e+10          7.829699e+14
    4       4185.50          8.115473e+10          1.000255e+15
    5       4230.65          1.037639e+11          1.276634e+15
    6       4276.00          1.325243e+11          1.628081e+15
    7       4321.29          1.690680e+11          2.075056e+15
    8       4366.48          2.154533e+11          2.643225e+15
    9       4411.48          2.742859e+11          3.365504e+15
   10       4456.19          3.488004e+11          4.283215e+15
   11       4500.18          4.430152e+11          5.449798e+15
   12       4522.64          4.992242e+11          6.145590e+15
   13       4544.74          5.623496e+11          6.930184e+15
   14       4566.75          6.332924e+11          7.814327e+15
   15       4588.83          7.130637e+11          8.810253e+15
   16       4610.94          8.027380e+11          9.932382e+15
   17       4633.06          9.035078e+11          1.119630e+16
   18       4655.47          1.016876e+12          1.261919e+16
   19       4678.10          1.144377e+12          1.422108e+16
   20       4701.31          1.288018e+12          1.602310e+16
   21       4725.14          1.449886e+12          1.804932e+16
   22       4749.94          1.632689e+12          2.032628e+16
   23       4776.05          1.839525e+12          2.288230e+16
   24       4803.74          2.073997e+12          2.574855e+16
   25       4833.34          2.340428e+12          2.895912e+16
   26       4865.43          2.644325e+12          3.254947e+16
   27       4900.08          2.991506e+12          3.656092e+16
   28       4939.89          3.393761e+12          4.101710e+16
   29       4982.28          3.855398e+12          4.598350e+16
   30       5029.77          4.392846e+12          5.148758e+16
   31       5083.37          5.024532e+12          5.756520e+16
   32       5143.22          5.772601e+12          6.425695e+16
   33       5211.55          6.677240e+12          7.156971e+16
   34       5289.03          7.792949e+12          7.950563e+16
   35       5376.98          9.210537e+12          8.802106e+16
   36       5477.66          1.109067e+13          9.699390e+16
   37       5591.59          1.368422e+13          1.062409e+17
   38       5721.67          1.745038e+13          1.154198e+17
   39       5869.95          2.315304e+13          1.240916e+17
   40       6038.34          3.206729e+13          1.317933e+17
   41       6229.00          4.633801e+13          1.380804e+17
   42       6445.46          6.975102e+13          1.426422e+17
   43       6688.28          1.083677e+14          1.453607e+17
   44       6976.99          1.772589e+14          1.458269e+17
   45       7306.49          2.980890e+14          1.443036e+17
   46       7609.89          4.645301e+14          1.425245e+17
   47       7868.63          6.620987e+14          1.411941e+17
   48       8089.49          8.819110e+14          1.403712e+17
   49       8282.25          1.120417e+15          1.399937e+17
   50       8454.63          1.376999e+15          1.399850e+17
   51       8612.31          1.653019e+15          1.403117e+17
   52       8895.94          2.267201e+15          1.418938e+17
   53       9160.78          3.004293e+15          1.445720e+17
   54       9416.84          3.900971e+15          1.484186e+17
   55       9670.63          5.005828e+15          1.535975e+17
   56       9926.57          6.381862e+15          1.603486e+17
