# Korg.jl Reference Spectrum - Solar-like (Continuum-only)
# Generated: 2025-10-05 14:04:41
# Parameters: Teff=5771.0K, logg=4.44, [M/H]=0.0
# Synthesis time: 12.51 seconds
# Wavelength range: 5000.0-5020.0 Å (2001 points)
# Line list: 0 lines (continuum only)
#
# Wavelength(Å)    Flux              Continuum         NormalizedFlux
     5000.0000      1.034345e+15      1.034345e+15      1.000000
     5000.0100      1.034340e+15      1.034340e+15      1.000000
     5000.0200      1.034336e+15      1.034336e+15      1.000000
     5000.0300      1.034331e+15      1.034331e+15      1.000000
     5000.0400      1.034327e+15      1.034327e+15      1.000000
     5000.0500      1.034322e+15      1.034322e+15      1.000000
     5000.0600      1.034318e+15      1.034318e+15      1.000000
     5000.0700      1.034313e+15      1.034313e+15      1.000000
     5000.0800      1.034309e+15      1.034309e+15      1.000000
     5000.0900      1.034304e+15      1.034304e+15      1.000000
     5000.1000      1.034300e+15      1.034300e+15      1.000000
     5000.1100      1.034295e+15      1.034295e+15      1.000000
     5000.1200      1.034291e+15      1.034291e+15      1.000000
     5000.1300      1.034287e+15      1.034287e+15      1.000000
     5000.1400      1.034282e+15      1.034282e+15      1.000000
     5000.1500      1.034278e+15      1.034278e+15      1.000000
     5000.1600      1.034273e+15      1.034273e+15      1.000000
     5000.1700      1.034269e+15      1.034269e+15      1.000000
     5000.1800      1.034264e+15      1.034264e+15      1.000000
     5000.1900      1.034260e+15      1.034260e+15      1.000000
     5000.2000      1.034255e+15      1.034255e+15      1.000000
     5000.2100      1.034251e+15      1.034251e+15      1.000000
     5000.2200      1.034246e+15      1.034246e+15      1.000000
     5000.2300      1.034242e+15      1.034242e+15      1.000000
     5000.2400      1.034237e+15      1.034237e+15      1.000000
     5000.2500      1.034233e+15      1.034233e+15      1.000000
     5000.2600      1.034229e+15      1.034229e+15      1.000000
     5000.2700      1.034224e+15      1.034224e+15      1.000000
     5000.2800      1.034220e+15      1.034220e+15      1.000000
     5000.2900      1.034215e+15      1.034215e+15      1.000000
     5000.3000      1.034211e+15      1.034211e+15      1.000000
     5000.3100      1.034206e+15      1.034206e+15      1.000000
     5000.3200      1.034202e+15      1.034202e+15      1.000000
     5000.3300      1.034197e+15      1.034197e+15      1.000000
     5000.3400      1.034193e+15      1.034193e+15      1.000000
     5000.3500      1.034188e+15      1.034188e+15      1.000000
     5000.3600      1.034184e+15      1.034184e+15      1.000000
     5000.3700      1.034179e+15      1.034179e+15      1.000000
     5000.3800      1.034175e+15      1.034175e+15      1.000000
     5000.3900      1.034170e+15      1.034170e+15      1.000000
     5000.4000      1.034166e+15      1.034166e+15      1.000000
