# Korg.jl Opacity Matrix - Solar-like
# Generated: 2025-09-30 21:15:39
# Matrix shape: (56, 2001) (layers × wavelengths)
# Opacity range: 2.265886124188256e-12 - 1.4965240431432547e-5 cm⁻¹
#
# Layer    MinOpacity      MaxOpacity      MeanOpacity
    1    2.265886e-12    2.292117e-12    2.276779e-12
    2    3.457394e-12    3.495417e-12    3.472744e-12
    3    5.266810e-12    5.321384e-12    5.288247e-12
    4    8.050473e-12    8.128957e-12    8.080483e-12
    5    1.234286e-11    1.245647e-11    1.238543e-11
    6    1.897395e-11    1.913904e-11    1.903466e-11
    7    2.923773e-11    2.947889e-11    2.932512e-11
    8    4.513861e-11    4.549289e-11    4.526572e-11
    9    6.980494e-11    7.032712e-11    6.999057e-11
   10    1.080788e-10    1.088571e-10    1.083572e-10
   11    1.675500e-10    1.687143e-10    1.679693e-10
   12    2.086191e-10    2.100435e-10    2.091337e-10
   13    2.598366e-10    2.615806e-10    2.604686e-10
   14    3.236736e-10    3.258098e-10    3.244498e-10
   15    4.032114e-10    4.058291e-10    4.041649e-10
   16    5.023416e-10    5.055507e-10    5.035133e-10
   17    6.258551e-10    6.297906e-10    6.272952e-10
   18    7.796735e-10    7.845011e-10    7.814435e-10
   19    9.712357e-10    9.771593e-10    9.734116e-10
   20    1.209634e-09    1.216903e-09    1.212309e-09
   21    1.506184e-09    1.515106e-09    1.509472e-09
   22    1.874888e-09    1.885839e-09    1.878928e-09
   23    2.332872e-09    2.346314e-09    2.337835e-09
   24    2.901243e-09    2.917742e-09    2.907339e-09
   25    3.605986e-09    3.626238e-09    3.613471e-09
   26    4.478761e-09    4.503620e-09    4.487948e-09
   27    5.559042e-09    5.589561e-09    5.570315e-09
   28    6.891160e-09    6.928620e-09    6.904980e-09
   29    8.538363e-09    8.584379e-09    8.555309e-09
   30    1.056838e-08    1.062423e-08    1.058894e-08
   31    1.306667e-08    1.313286e-08    1.309115e-08
   32    1.615259e-08    1.623163e-08    1.618242e-08
   33    1.998041e-08    2.007464e-08    2.001671e-08
   34    2.477468e-08    2.488709e-08    2.481887e-08
   35    3.087620e-08    3.101070e-08    3.093012e-08
   36    3.884053e-08    3.900265e-08    3.890667e-08
   37    4.956022e-08    4.975829e-08    4.964221e-08
   38    6.451782e-08    6.476466e-08    6.462095e-08
   39    8.605401e-08    8.636981e-08    8.618616e-08
   40    1.177625e-07    1.181818e-07    1.179350e-07
   41    1.650218e-07    1.656063e-07    1.652506e-07
   42    2.355273e-07    2.363310e-07    2.358451e-07
   43    3.404988e-07    3.415988e-07    3.409568e-07
   44    5.067367e-07    5.083039e-07    5.074209e-07
   45    7.653248e-07    7.676285e-07    7.663747e-07
   46    1.093063e-06    1.096327e-06    1.094605e-06
   47    1.464858e-06    1.469244e-06    1.466998e-06
   48    1.870505e-06    1.875949e-06    1.873415e-06
   49    2.310694e-06    2.317191e-06    2.314540e-06
   50    2.788994e-06    2.796635e-06    2.793922e-06
   51    3.311878e-06    3.321662e-06    3.318059e-06
   52    4.530835e-06    4.546261e-06    4.540110e-06
   53    6.102631e-06    6.125869e-06    6.116132e-06
   54    8.182694e-06    8.216807e-06    8.202023e-06
   55    1.100009e-05    1.104945e-05    1.102753e-05
   56    1.489437e-05    1.496524e-05    1.493318e-05
