# Korg.jl With-Lines Opacity Matrix - Solar-like
# Generated: 2025-10-05 14:04:44
# Matrix shape: (56, 2001) (layers × wavelengths)
# Opacity range: 2.2869014088254673e-12 - 0.0004164913537272568 cm⁻¹
#
# Layer    MinOpacity      MaxOpacity      MeanOpacity
    1    2.286901e-12    5.432726e-08    3.032736e-10
    2    3.486154e-12    7.314605e-08    4.192203e-10
    3    5.305426e-12    9.499932e-08    5.663848e-10
    4    8.102401e-12    1.229495e-07    7.641077e-10
    5    1.241344e-11    1.591035e-07    1.031569e-09
    6    1.907073e-11    2.061614e-07    1.394813e-09
    7    2.937233e-11    2.678490e-07    1.890395e-09
    8    4.532916e-11    3.489139e-07    2.567862e-09
    9    7.007909e-11    4.558996e-07    3.496862e-09
   10    1.084869e-10    5.976070e-07    4.773946e-09
   11    1.681708e-10    7.871121e-07    6.539523e-09
   12    2.093890e-10    9.023911e-07    7.651777e-09
   13    2.607969e-10    1.036424e-06    8.963800e-09
   14    3.248770e-10    1.191275e-06    1.050723e-08
   15    4.047262e-10    1.369438e-06    1.231990e-08
   16    5.042569e-10    1.574864e-06    1.445172e-08
   17    6.282872e-10    1.811656e-06    1.695897e-08
   18    7.827727e-10    2.082808e-06    1.989988e-08
   19    9.751990e-10    2.393682e-06    2.335247e-08
   20    1.214715e-09    2.746779e-06    2.739024e-08
   21    1.512712e-09    3.146693e-06    3.210779e-08
   22    1.883286e-09    3.595178e-06    3.759916e-08
   23    2.343680e-09    4.092572e-06    4.396423e-08
   24    2.915146e-09    4.638083e-06    5.131290e-08
   25    3.623850e-09    5.228384e-06    5.976006e-08
   26    4.501660e-09    5.853248e-06    6.940242e-08
   27    5.588320e-09    6.507889e-06    8.038907e-08
   28    6.928307e-09    7.132151e-06    9.256937e-08
   29    8.585392e-09    8.029121e-06    1.064083e-07
   30    1.062729e-08    9.562315e-06    1.217738e-07
   31    1.313937e-08    1.145326e-05    1.387110e-07
   32    1.624234e-08    1.378407e-05    1.574683e-07
   33    2.008996e-08    1.669255e-05    1.780901e-07
   34    2.490707e-08    2.031890e-05    2.010889e-07
   35    3.103471e-08    2.484145e-05    2.272570e-07
   36    3.902876e-08    3.048901e-05    2.578397e-07
   37    4.978307e-08    3.746150e-05    2.950438e-07
   38    6.478169e-08    4.602604e-05    3.416957e-07
   39    8.636812e-08    5.641136e-05    4.016775e-07
   40    1.181407e-07    6.881275e-05    4.799780e-07
   41    1.654866e-07    8.338257e-05    5.828889e-07
   42    2.361185e-07    1.003162e-04    7.189050e-07
   43    3.412867e-07    1.195718e-04    8.991118e-07
   44    5.079146e-07    1.420615e-04    1.152949e-06
   45    7.673583e-07    1.670750e-04    1.509193e-06
   46    1.096429e-06    1.901304e-04    1.929426e-06
   47    1.469304e-06    2.100320e-04    2.383118e-06
   48    1.876441e-06    2.273325e-04    2.862535e-06
   49    2.318485e-06    2.428067e-04    3.372197e-06
   50    2.798894e-06    2.570492e-04    3.918178e-06
   51    3.324162e-06    2.705450e-04    4.508846e-06
   52    4.548834e-06    2.964316e-04    5.870182e-06
   53    6.126689e-06    3.227804e-04    7.602878e-06
   54    8.215171e-06    3.508172e-04    9.894690e-06
   55    1.104457e-05    3.816698e-04    1.300359e-05
   56    1.495596e-05    4.164914e-04    1.730381e-05
