# Korg.jl Reference Spectrum - Solar-like (With Lines)
# Generated: 2025-10-05 14:04:44
# Parameters: Teff=5771.0K, logg=4.44, [M/H]=0.0
# Synthesis time: 2.6 seconds
# Wavelength range: 5000.0-5020.0 Å (2001 points)
# Line list: 41821 lines
#
# Wavelength(Å)    Flux              Continuum         NormalizedFlux
     5000.0000      1.031475e+15      1.034285e+15      0.997283
     5000.0100      1.031553e+15      1.034280e+15      0.997363
     5000.0200      1.031611e+15      1.034276e+15      0.997423
     5000.0300      1.031657e+15      1.034271e+15      0.997472
     5000.0400      1.031745e+15      1.034267e+15      0.997562
     5000.0500      1.031700e+15      1.034262e+15      0.997523
     5000.0600      1.031524e+15      1.034258e+15      0.997357
     5000.0700      1.030939e+15      1.034253e+15      0.996796
     5000.0800      1.029318e+15      1.034249e+15      0.995232
     5000.0900      1.025779e+15      1.034244e+15      0.991815
     5000.1000      1.020038e+15      1.034240e+15      0.986268
     5000.1100      1.013545e+15      1.034235e+15      0.979994
     5000.1200      1.009322e+15      1.034231e+15      0.975915
     5000.1300      1.010089e+15      1.034227e+15      0.976661
     5000.1400      1.015226e+15      1.034222e+15      0.981632
     5000.1500      1.021755e+15      1.034218e+15      0.987949
     5000.1600      1.026873e+15      1.034213e+15      0.992902
     5000.1700      1.029730e+15      1.034209e+15      0.995670
     5000.1800      1.030932e+15      1.034204e+15      0.996836
     5000.1900      1.031325e+15      1.034200e+15      0.997220
     5000.2000      1.031423e+15      1.034195e+15      0.997319
     5000.2100      1.031430e+15      1.034191e+15      0.997330
     5000.2200      1.031471e+15      1.034186e+15      0.997374
     5000.2300      1.031422e+15      1.034182e+15      0.997331
     5000.2400      1.031368e+15      1.034177e+15      0.997284
     5000.2500      1.031310e+15      1.034173e+15      0.997231
     5000.2600      1.031245e+15      1.034168e+15      0.997173
     5000.2700      1.031174e+15      1.034164e+15      0.997109
     5000.2800      1.031096e+15      1.034160e+15      0.997038
     5000.2900      1.031009e+15      1.034155e+15      0.996958
     5000.3000      1.030913e+15      1.034151e+15      0.996870
     5000.3100      1.030807e+15      1.034146e+15      0.996771
     5000.3200      1.030687e+15      1.034142e+15      0.996659
     5000.3300      1.030551e+15      1.034137e+15      0.996532
     5000.3400      1.030396e+15      1.034133e+15      0.996387
     5000.3500      1.030218e+15      1.034128e+15      0.996219
     5000.3600      1.030011e+15      1.034124e+15      0.996023
     5000.3700      1.029763e+15      1.034119e+15      0.995788
     5000.3800      1.029388e+15      1.034115e+15      0.995429
     5000.3900      1.029014e+15      1.034110e+15      0.995072
     5000.4000      1.028535e+15      1.034106e+15      0.994613
     5000.4100      1.027883e+15      1.034101e+15      0.993987
     5000.4200      1.026914e+15      1.034097e+15      0.993054
     5000.4300      1.025206e+15      1.034093e+15      0.991406
     5000.4400      1.021017e+15      1.034088e+15      0.987360
     5000.4500      1.008232e+15      1.034084e+15      0.975000
     5000.4600      9.709266e+14      1.034079e+15      0.938929
     5000.4700      8.870504e+14      1.034075e+15      0.857820
     5000.4800      7.600701e+14      1.034070e+15      0.735027
     5000.4900      6.383418e+14      1.034066e+15      0.617313
     5000.5000      5.668390e+14      1.034061e+15      0.548168
     5000.5100      5.569712e+14      1.034057e+15      0.538627
     5000.5200      6.086838e+14      1.034052e+15      0.588639
     5000.5300      7.172710e+14      1.034048e+15      0.693654
     5000.5400      8.483443e+14      1.034043e+15      0.820415
