# wavelength(A) flux continuum rectified_flux
6560.000000 3.712706374263e+14 3.878714259213e+14 9.572002798206e-01
6560.010000 3.707444432939e+14 3.878708490025e+14 9.558450815454e-01
6560.020000 3.703995319253e+14 3.878702720824e+14 9.549572591286e-01
6560.030000 3.702630091368e+14 3.878696951612e+14 9.546066984760e-01
6560.040000 3.703722719354e+14 3.878691182387e+14 9.548898185483e-01
6560.050000 3.707067476730e+14 3.878685413151e+14 9.557535819123e-01
6560.060000 3.711617143204e+14 3.878679643902e+14 9.569279971442e-01
6560.070000 3.715591121880e+14 3.878673874643e+14 9.579539920000e-01
6560.080000 3.719475086891e+14 3.878668105371e+14 9.589567825463e-01
6560.090000 3.722406323653e+14 3.878662336086e+14 9.597139428769e-01
6560.100000 3.724461008265e+14 3.878656566791e+14 9.602451117104e-01
6560.110000 3.725623242796e+14 3.878650797484e+14 9.605461892091e-01
6560.120000 3.726271886037e+14 3.878645028163e+14 9.607148524757e-01
6560.130000 3.726682790933e+14 3.878639258832e+14 9.608222219808e-01
6560.140000 3.726855675451e+14 3.878633489489e+14 9.608682247372e-01
6560.150000 3.726871132178e+14 3.878627720133e+14 9.608736391051e-01
6560.160000 3.726782861097e+14 3.878621950765e+14 9.608523100226e-01
6560.170000 3.726618484484e+14 3.878616181386e+14 9.608113590533e-01
6560.180000 3.726396836890e+14 3.878610411995e+14 9.607556421150e-01
6560.190000 3.726131140577e+14 3.878604642592e+14 9.606885681668e-01
6560.200000 3.725830901364e+14 3.878598873178e+14 9.606125879966e-01
6560.210000 3.725503048341e+14 3.878593103751e+14 9.605294880605e-01
6560.220000 3.725152664804e+14 3.878587334312e+14 9.604405789316e-01
6560.230000 3.724783732503e+14 3.878581564861e+14 9.603468871837e-01
6560.240000 3.724399274838e+14 3.878575795399e+14 9.602491923082e-01
6560.250000 3.724001649534e+14 3.878570025924e+14 9.601481021726e-01
6560.260000 3.723592716454e+14 3.878564256438e+14 9.600440962847e-01
6560.270000 3.723173958157e+14 3.878558486939e+14 9.599375568771e-01
6560.280000 3.722746567661e+14 3.878552717429e+14 9.598287915314e-01
6560.290000 3.722311513272e+14 3.878546947907e+14 9.597180498950e-01
6560.300000 3.721869587064e+14 3.878541178374e+14 9.596055361787e-01
