#
# Wavelength statistics (min, max, mean opacity per wavelength):
# WaveIndex  Wavelength(Å)   MinOpacity      MaxOpacity      MeanOpacity
       1     5000.0000  2.058296e-12  1.554937e-05  1.088827e-06
     201     5002.0000  2.067898e-12  1.562288e-05  1.093938e-06
     401     5004.0000  5.803886e-11  1.608171e-05  1.248110e-06
     601     5006.0000  2.283064e-12  1.555466e-05  1.091821e-06
     801     5008.0000  2.197640e-12  1.580781e-05  1.113020e-06
    1001     5010.0000  4.477248e-12  1.553783e-05  1.107815e-06
    1201     5012.0000  2.071303e-12  1.546656e-05  1.087436e-06
    1401     5014.0000  2.118237e-12  1.486913e-05  1.069225e-06
    1601     5016.0000  4.114855e-12  1.475530e-05  1.061312e-06
    1801     5018.0000  4.697054e-12  1.482391e-05  1.065223e-06
    2001     5020.0000  7.626492e-12  1.565518e-05  1.159392e-06
    2201     5022.0000  2.085647e-12  1.491409e-05  1.072833e-06
    2401     5024.0000  2.072654e-12  1.478524e-05  1.060695e-06
    2601     5026.0000  2.054313e-12  1.482984e-05  1.062700e-06
    2801     5028.0000  2.047623e-12  1.483057e-05  1.064846e-06
    3001     5030.0000  2.712656e-12  1.477361e-05  1.059988e-06
    3201     5032.0000  5.201123e-12  1.479216e-05  1.066231e-06
    3401     5034.0000  2.046181e-12  1.478404e-05  1.060451e-06
    3601     5036.0000  2.055107e-12  1.492502e-05  1.070687e-06
    3801     5038.0000  2.113639e-12  1.490335e-05  1.071729e-06
    4001     5040.0000  1.544523e-10  1.523731e-05  1.265694e-06
    4201     5042.0000  4.027857e-11  1.529155e-05  1.095993e-06
    4401     5044.0000  4.293384e-12  1.494883e-05  1.071552e-06
    4601     5046.0000  2.043764e-12  1.483201e-05  1.063253e-06
    4801     5048.0000  3.295253e-12  1.484026e-05  1.064089e-06
    5001     5050.0000  2.091239e-12  1.504079e-05  1.078787e-06
    5201     5052.0000  5.305114e-12  1.493809e-05  1.070549e-06
    5401     5054.0000  1.940356e-11  1.557020e-05  1.105481e-06
    5601     5056.0000  3.424105e-12  1.501017e-05  1.080215e-06
    5801     5058.0000  2.035097e-12  1.503050e-05  1.072894e-06
    6001     5060.0000  2.035540e-12  1.491054e-05  1.067925e-06
    6201     5062.0000  2.035703e-12  1.491488e-05  1.068371e-06
    6401     5064.0000  2.036111e-12  1.495747e-05  1.071290e-06
    6601     5066.0000  4.227379e-11  1.535269e-05  1.150239e-06
    6801     5068.0000  2.042170e-12  1.499495e-05  1.073774e-06
    7001     5070.0000  2.321912e-12  1.510760e-05  1.086255e-06
    7201     5072.0000  2.039666e-12  1.501661e-05  1.075917e-06
    7401     5074.0000  2.129500e-12  1.531090e-05  1.118112e-06
    7601     5076.0000  7.132269e-12  1.571922e-05  1.132124e-06
    7801     5078.0000  7.479263e-11  1.504240e-05  1.084444e-06
    8001     5080.0000  2.126258e-12  1.512528e-05  1.082518e-06
    8201     5082.0000  3.660588e-11  1.723775e-05  1.466210e-06
    8401     5084.0000  2.054706e-12  1.514966e-05  1.087530e-06
    8601     5086.0000  2.042382e-12  1.514262e-05  1.090428e-06
    8801     5088.0000  5.039035e-12  1.508731e-05  1.080645e-06
    9001     5090.0000  4.435576e-12  1.522441e-05  1.100176e-06
    9201     5092.0000  2.088737e-12  1.572902e-05  1.128145e-06
    9401     5094.0000  2.038637e-12  1.511457e-05  1.081369e-06
    9601     5096.0000  2.120972e-12  1.516127e-05  1.085404e-06
    9801     5098.0000  2.056477e-12  1.521106e-05  1.087843e-06
   10001     5100.0000  5.394594e-10  1.753940e-05  1.934157e-06
   10201     5102.0000  2.076770e-12  1.518729e-05  1.087000e-06
   10401     5104.0000  6.025413e-12  1.518589e-05  1.088782e-06
   10601     5106.0000  2.050919e-12  1.519777e-05  1.087479e-06
   10801     5108.0000  2.561316e-11  1.520118e-05  1.091632e-06
   11001     5110.0000  2.236513e-12  1.523950e-05  1.092235e-06
   11201     5112.0000  2.179614e-12  1.521759e-05  1.089351e-06
   11401     5114.0000  2.046131e-12  1.520690e-05  1.087216e-06
   11601     5116.0000  4.013350e-11  1.522958e-05  1.092580e-06
   11801     5118.0000  2.309180e-12  1.523072e-05  1.088949e-06
   12001     5120.0000  2.056685e-12  1.524133e-05  1.089600e-06
   12201     5122.0000  8.013503e-12  1.526025e-05  1.092235e-06
   12401     5124.0000  2.069046e-12  1.528714e-05  1.092704e-06
   12601     5126.0000  2.881110e-12  1.562163e-05  1.117017e-06
   12801     5128.0000  2.094798e-12  1.548259e-05  1.116629e-06
   13001     5130.0000  2.104165e-12  1.533198e-05  1.096170e-06
   13201     5132.0000  4.477043e-11  1.536532e-05  1.107041e-06
   13401     5134.0000  2.155061e-12  1.542682e-05  1.102376e-06
   13601     5136.0000  2.111447e-12  1.548476e-05  1.106041e-06
   13801     5138.0000  2.132596e-12  1.539029e-05  1.099861e-06
   14001     5140.0000  2.563095e-12  1.540132e-05  1.101586e-06
   14201     5142.0000  2.102271e-12  1.538349e-05  1.099548e-06
   14401     5144.0000  2.177355e-10  1.844657e-05  1.932884e-06
   14601     5146.0000  4.561163e-11  1.537526e-05  1.104255e-06
   14801     5148.0000  2.288290e-12  1.608307e-05  1.181906e-06
   15001     5150.0000  2.076912e-12  1.573368e-05  1.123544e-06
   15201     5152.0000  3.932949e-11  1.540482e-05  1.105105e-06
   15401     5154.0000  2.051459e-12  1.541211e-05  1.100138e-06
   15601     5156.0000  2.055274e-12  1.545030e-05  1.102911e-06
   15801     5158.0000  3.104152e-11  1.546471e-05  1.107907e-06
   16001     5160.0000  2.458272e-11  1.551683e-05  1.110905e-06
   16201     5162.0000  2.052431e-12  1.552823e-05  1.107666e-06
   16401     5164.0000  3.985724e-12  1.611989e-05  1.185655e-06
   16601     5166.0000  6.401842e-11  1.579848e-05  1.193677e-06
   16801     5168.0000  2.504807e-12  1.581658e-05  1.138086e-06
   17001     5170.0000  2.621985e-12  1.592342e-05  1.147167e-06
   17201     5172.0000  2.525792e-12  1.573937e-05  1.125946e-06
   17401     5174.0000  4.521161e-11  5.774742e-05  5.332871e-06
   17601     5176.0000  2.222504e-12  1.566511e-05  1.121521e-06
   17801     5178.0000  3.136384e-10  1.608985e-05  1.527018e-06
   18001     5180.0000  2.091436e-12  1.559419e-05  1.113150e-06
   18201     5182.0000  2.386392e-12  1.564887e-05  1.119264e-06
   18401     5184.0000  3.907440e-12  1.631182e-05  1.184244e-06
   18601     5186.0000  1.439733e-10  1.684197e-05  1.364366e-06
   18801     5188.0000  2.947208e-11  1.591825e-05  1.180726e-06
   19001     5190.0000  2.469584e-12  1.580257e-05  1.129020e-06
   19201     5192.0000  2.094367e-12  1.562543e-05  1.114588e-06
   19401     5194.0000  3.172920e-12  1.599798e-05  1.154195e-06
   19601     5196.0000  2.068362e-12  1.563603e-05  1.114747e-06
   19801     5198.0000  9.469243e-12  1.577115e-05  1.136466e-06
   20001     5200.0000  2.308775e-12  1.564524e-05  1.115641e-06
