# Korg.jl Solar Spectrum
# Teff=5780 K, logg=4.44, [M/H]=0.0
# Wavelength(Å)  NormalizedFlux
 5000.0000      0.997413
 5000.0100      0.997491
 5000.0200      0.997549
 5000.0300      0.997596
 5000.0400      0.997684
 5000.0500      0.997646
 5000.0600      0.997485
 5000.0700      0.996934
 5000.0800      0.995393
 5000.0900      0.992023
 5000.1000      0.986549
 5000.1100      0.980357
 5000.1200      0.976464
 5000.1300      0.977073
 5000.1400      0.981981
 5000.1500      0.988217
 5000.1600      0.993106
 5000.1700      0.995836
 5000.1800      0.996986
 5000.1900      0.997365
 5000.2000      0.997463
 5000.2100      0.997474
 5000.2200      0.997516
 5000.2300      0.997476
 5000.2400      0.997432
 5000.2500      0.997383
 5000.2600      0.997329
 5000.2700      0.997269
 5000.2800      0.997202
 5000.2900      0.997127
 5000.3000      0.997045
 5000.3100      0.996951
 5000.3200      0.996847
 5000.3300      0.996727
 5000.3400      0.996591
 5000.3500      0.996433
 5000.3600      0.996248
 5000.3700      0.996026
 5000.3800      0.995686
 5000.3900      0.995348
 5000.4000      0.994913
 5000.4100      0.994320
 5000.4200      0.993433
 5000.4300      0.991854
 5000.4400      0.987923
 5000.4500      0.975769
 5000.4600      0.940056
 5000.4700      0.859392
 5000.4800      0.736848
 5000.4900      0.618973
 5000.5000      0.549554
 5000.5100      0.539965
 5000.5200      0.590215
 5000.5300      0.695486
 5000.5400      0.822167
 5000.5500      0.918287
 5000.5600      0.965679
 5000.5700      0.982455
 5000.5800      0.987218
 5000.5900      0.988127
 5000.6000      0.986739
 5000.6100      0.982301
 5000.6200      0.973061
 5000.6300      0.959192
 5000.6400      0.944818
 5000.6500      0.937496
 5000.6600      0.941405
 5000.6700      0.953745
 5000.6800      0.967109
 5000.6900      0.976310
 5000.7000      0.980496
 5000.7100      0.981392
 5000.7200      0.980615
 5000.7300      0.978974
 5000.7400      0.976702
 5000.7500      0.973774
 5000.7600      0.970019
 5000.7700      0.965199
 5000.7800      0.959060
 5000.7900      0.950756
 5000.8000      0.938573
 5000.8100      0.917077
 5000.8200      0.865872
 5000.8300      0.731725
 5000.8400      0.493781
 5000.8500      0.306474
 5000.8600      0.231696
 5000.8700      0.194409
 5000.8800      0.172325
 5000.8900      0.161050
 5000.9000      0.158766
 5000.9100      0.165076
 5000.9200      0.181177
 5000.9300      0.210089
 5000.9400      0.262234
 5000.9500      0.396835
 5000.9600      0.655418
 5000.9700      0.835478
 5000.9800      0.903669
 5000.9900      0.930631
 5001.0000      0.945440
 5001.0100      0.955308
 5001.0200      0.962438
 5001.0300      0.967906
 5001.0400      0.972280
 5001.0500      0.975717
 5001.0600      0.978499
 5001.0700      0.980788
 5001.0800      0.982720
 5001.0900      0.984322
 5001.1000      0.985681
 5001.1100      0.986882
