# Korg.jl Solar Spectrum - Complete Data
# Generated on: 2025-07-31T21:55:00.448
# Parameters: Teff=5780 K, logg=4.44, [M/H]=0.0, vmic=1.0 km/s
# Wavelength range: (5000, 5200) Å
# Synthesis time: 56.38 seconds
# Total wavelength points: 20001
# Strong absorption lines (>10% depth): 6154
# Deepest line: 5185.05 Å, 89.2% depth
#
# Column 1: Wavelength (Å)
# Column 2: Absolute Flux (erg/s/cm²/Å)
# Column 3: Continuum Flux (erg/s/cm²/Å)
# Column 4: Normalized Flux (dimensionless)
#
# Wavelength    AbsoluteFlux      ContinuumFlux     NormalizedFlux
 5000.0000     1.046654e+15     1.049368e+15      0.997413
 5000.0100     1.046730e+15     1.049363e+15      0.997491
 5000.0200     1.046787e+15     1.049359e+15      0.997549
 5000.0300     1.046832e+15     1.049354e+15      0.997596
 5000.0400     1.046919e+15     1.049350e+15      0.997684
 5000.0500     1.046875e+15     1.049345e+15      0.997646
 5000.0600     1.046701e+15     1.049340e+15      0.997485
 5000.0700     1.046118e+15     1.049336e+15      0.996934
 5000.0800     1.044497e+15     1.049331e+15      0.995393
 5000.0900     1.040956e+15     1.049327e+15      0.992023
 5000.1000     1.035208e+15     1.049322e+15      0.986549
 5000.1100     1.028706e+15     1.049318e+15      0.980357
 5000.1200     1.024616e+15     1.049313e+15      0.976464
 5000.1300     1.025251e+15     1.049308e+15      0.977073
 5000.1400     1.030397e+15     1.049304e+15      0.981981
 5000.1500     1.036936e+15     1.049299e+15      0.988217
 5000.1600     1.042061e+15     1.049295e+15      0.993106
 5000.1700     1.044921e+15     1.049290e+15      0.995836
 5000.1800     1.046123e+15     1.049286e+15      0.996986
 5000.1900     1.046516e+15     1.049281e+15      0.997365
 5000.2000     1.046614e+15     1.049276e+15      0.997463
 5000.2100     1.046621e+15     1.049272e+15      0.997474
 5000.2200     1.046661e+15     1.049267e+15      0.997516
 5000.2300     1.046615e+15     1.049263e+15      0.997476
 5000.2400     1.046564e+15     1.049258e+15      0.997432
 5000.2500     1.046508e+15     1.049254e+15      0.997383
 5000.2600     1.046446e+15     1.049249e+15      0.997329
 5000.2700     1.046378e+15     1.049244e+15      0.997269
 5000.2800     1.046304e+15     1.049240e+15      0.997202
 5000.2900     1.046221e+15     1.049235e+15      0.997127
 5000.3000     1.046130e+15     1.049231e+15      0.997045
 5000.3100     1.046028e+15     1.049226e+15      0.996951
 5000.3200     1.045913e+15     1.049222e+15      0.996847
 5000.3300     1.045783e+15     1.049217e+15      0.996727
 5000.3400     1.045636e+15     1.049212e+15      0.996591
 5000.3500     1.045465e+15     1.049208e+15      0.996433
 5000.3600     1.045266e+15     1.049203e+15      0.996248
 5000.3700     1.045029e+15     1.049199e+15      0.996026
 5000.3800     1.044667e+15     1.049194e+15      0.995686
 5000.3900     1.044308e+15     1.049190e+15      0.995348
 5000.4000     1.043848e+15     1.049185e+15      0.994913
 5000.4100     1.043221e+15     1.049180e+15      0.994320
 5000.4200     1.042286e+15     1.049176e+15      0.993433
 5000.4300     1.040625e+15     1.049171e+15      0.991854
 5000.4400     1.036496e+15     1.049167e+15      0.987923
 5000.4500     1.023740e+15     1.049162e+15      0.975769
 5000.4600     9.862665e+14     1.049158e+15      0.940056
 5000.4700     9.016334e+14     1.049153e+15      0.859392
 5000.4800     7.730632e+14     1.049148e+15      0.736848
 5000.4900     6.493921e+14     1.049144e+15      0.618973
 5000.5000     5.765584e+14     1.049139e+15      0.549554
 5000.5100     5.664957e+14     1.049135e+15      0.539965
 5000.5200     6.192124e+14     1.049130e+15      0.590215
 5000.5300     7.296517e+14     1.049126e+15      0.695486
 5000.5400     8.625525e+14     1.049121e+15      0.822167
 5000.5500     9.633897e+14     1.049116e+15      0.918287
 5000.5600     1.013105e+15     1.049112e+15      0.965679
 5000.5700     1.030701e+15     1.049107e+15      0.982455
 5000.5800     1.035693e+15     1.049103e+15      0.987218
 5000.5900     1.036643e+15     1.049098e+15      0.988127
 5000.6000     1.035181e+15     1.049094e+15      0.986739
 5000.6100     1.030521e+15     1.049089e+15      0.982301
 5000.6200     1.020823e+15     1.049084e+15      0.973061
 5000.6300     1.006268e+15     1.049080e+15      0.959192
 5000.6400     9.911856e+14     1.049075e+15      0.944818
 5000.6500     9.834994e+14     1.049071e+15      0.937496
 5000.6600     9.875966e+14     1.049066e+15      0.941405
 5000.6700     1.000538e+15     1.049062e+15      0.953745
 5000.6800     1.014553e+15     1.049057e+15      0.967109
 5000.6900     1.024200e+15     1.049052e+15      0.976310
 5000.7000     1.028587e+15     1.049048e+15      0.980496
 5000.7100     1.029523e+15     1.049043e+15      0.981392
 5000.7200     1.028703e+15     1.049039e+15      0.980615
 5000.7300     1.026978e+15     1.049034e+15      0.978974
 5000.7400     1.024589e+15     1.049030e+15      0.976702
 5000.7500     1.021513e+15     1.049025e+15      0.973774
 5000.7600     1.017569e+15     1.049020e+15      0.970019
 5000.7700     1.012509e+15     1.049016e+15      0.965199
 5000.7800     1.006065e+15     1.049011e+15      0.959060
 5000.7900     9.973495e+14     1.049007e+15      0.950756
 5000.8000     9.845656e+14     1.049002e+15      0.938573
 5000.8100     9.620118e+14     1.048998e+15      0.917077
 5000.8200     9.082942e+14     1.048993e+15      0.865872
 5000.8300     7.675714e+14     1.048988e+15      0.731725
 5000.8400     5.179684e+14     1.048984e+15      0.493781
 5000.8500     3.214848e+14     1.048979e+15      0.306474
 5000.8600     2.430428e+14     1.048975e+15      0.231696
 5000.8700     2.039291e+14     1.048970e+15      0.194409
 5000.8800     1.807627e+14     1.048966e+15      0.172325
