# Korg.jl Solar Spectrum - Simple Format
# Teff=5780 K, logg=4.44, [M/H]=0.0
# Wavelength(Å)  NormalizedFlux  Continuum(erg/s/cm²/Å)
 5000.0000      0.997413     1.049368e+15
 5000.0100      0.997491     1.049363e+15
 5000.0200      0.997549     1.049359e+15
 5000.0300      0.997596     1.049354e+15
 5000.0400      0.997684     1.049350e+15
 5000.0500      0.997646     1.049345e+15
 5000.0600      0.997485     1.049340e+15
 5000.0700      0.996934     1.049336e+15
 5000.0800      0.995393     1.049331e+15
 5000.0900      0.992023     1.049327e+15
 5000.1000      0.986549     1.049322e+15
 5000.1100      0.980357     1.049318e+15
 5000.1200      0.976464     1.049313e+15
 5000.1300      0.977073     1.049308e+15
 5000.1400      0.981981     1.049304e+15
 5000.1500      0.988217     1.049299e+15
 5000.1600      0.993106     1.049295e+15
 5000.1700      0.995836     1.049290e+15
 5000.1800      0.996986     1.049286e+15
 5000.1900      0.997365     1.049281e+15
 5000.2000      0.997463     1.049276e+15
 5000.2100      0.997474     1.049272e+15
 5000.2200      0.997516     1.049267e+15
 5000.2300      0.997476     1.049263e+15
 5000.2400      0.997432     1.049258e+15
 5000.2500      0.997383     1.049254e+15
 5000.2600      0.997329     1.049249e+15
 5000.2700      0.997269     1.049244e+15
 5000.2800      0.997202     1.049240e+15
 5000.2900      0.997127     1.049235e+15
 5000.3000      0.997045     1.049231e+15
 5000.3100      0.996951     1.049226e+15
 5000.3200      0.996847     1.049222e+15
 5000.3300      0.996727     1.049217e+15
 5000.3400      0.996591     1.049212e+15
 5000.3500      0.996433     1.049208e+15
 5000.3600      0.996248     1.049203e+15
 5000.3700      0.996026     1.049199e+15
 5000.3800      0.995686     1.049194e+15
 5000.3900      0.995348     1.049190e+15
 5000.4000      0.994913     1.049185e+15
 5000.4100      0.994320     1.049180e+15
 5000.4200      0.993433     1.049176e+15
 5000.4300      0.991854     1.049171e+15
 5000.4400      0.987923     1.049167e+15
 5000.4500      0.975769     1.049162e+15
 5000.4600      0.940056     1.049158e+15
 5000.4700      0.859392     1.049153e+15
 5000.4800      0.736848     1.049148e+15
 5000.4900      0.618973     1.049144e+15
 5000.5000      0.549554     1.049139e+15
 5000.5100      0.539965     1.049135e+15
 5000.5200      0.590215     1.049130e+15
 5000.5300      0.695486     1.049126e+15
 5000.5400      0.822167     1.049121e+15
 5000.5500      0.918287     1.049116e+15
 5000.5600      0.965679     1.049112e+15
 5000.5700      0.982455     1.049107e+15
 5000.5800      0.987218     1.049103e+15
 5000.5900      0.988127     1.049098e+15
 5000.6000      0.986739     1.049094e+15
 5000.6100      0.982301     1.049089e+15
 5000.6200      0.973061     1.049084e+15
 5000.6300      0.959192     1.049080e+15
 5000.6400      0.944818     1.049075e+15
 5000.6500      0.937496     1.049071e+15
 5000.6600      0.941405     1.049066e+15
 5000.6700      0.953745     1.049062e+15
 5000.6800      0.967109     1.049057e+15
 5000.6900      0.976310     1.049052e+15
 5000.7000      0.980496     1.049048e+15
 5000.7100      0.981392     1.049043e+15
 5000.7200      0.980615     1.049039e+15
 5000.7300      0.978974     1.049034e+15
 5000.7400      0.976702     1.049030e+15
 5000.7500      0.973774     1.049025e+15
 5000.7600      0.970019     1.049020e+15
 5000.7700      0.965199     1.049016e+15
 5000.7800      0.959060     1.049011e+15
 5000.7900      0.950756     1.049007e+15
 5000.8000      0.938573     1.049002e+15
 5000.8100      0.917077     1.048998e+15
 5000.8200      0.865872     1.048993e+15
 5000.8300      0.731725     1.048988e+15
 5000.8400      0.493781     1.048984e+15
 5000.8500      0.306474     1.048979e+15
 5000.8600      0.231696     1.048975e+15
 5000.8700      0.194409     1.048970e+15
 5000.8800      0.172325     1.048966e+15
 5000.8900      0.161050     1.048961e+15
 5000.9000      0.158766     1.048957e+15
 5000.9100      0.165076     1.048952e+15
 5000.9200      0.181177     1.048947e+15
 5000.9300      0.210089     1.048943e+15
 5000.9400      0.262234     1.048938e+15
 5000.9500      0.396835     1.048934e+15
 5000.9600      0.655418     1.048929e+15
 5000.9700      0.835478     1.048925e+15
 5000.9800      0.903669     1.048920e+15
 5000.9900      0.930631     1.048915e+15
 5001.0000      0.945440     1.048911e+15
 5001.0100      0.955308     1.048906e+15
 5001.0200      0.962438     1.048900e+15
 5001.0300      0.967906     1.048895e+15
 5001.0400      0.972280     1.048890e+15
 5001.0500      0.975717     1.048885e+15
 5001.0600      0.978499     1.048880e+15
 5001.0700      0.980788     1.048874e+15
 5001.0800      0.982720     1.048869e+15
 5001.0900      0.984322     1.048864e+15
 5001.1000      0.985681     1.048859e+15
 5001.1100      0.986882     1.048853e+15
 5001.1200      0.987883     1.048848e+15
 5001.1300      0.988749     1.048843e+15
 5001.1400      0.989503     1.048838e+15
 5001.1500      0.990163     1.048833e+15
 5001.1600      0.990742     1.048827e+15
 5001.1700      0.991252     1.048822e+15
 5001.1800      0.991559     1.048817e+15
 5001.1900      0.991952     1.048812e+15
 5001.2000      0.992298     1.048807e+15
 5001.2100      0.992604     1.048801e+15
 5001.2200      0.992873     1.048796e+15
 5001.2300      0.993110     1.048791e+15
 5001.2400      0.993318     1.048786e+15
 5001.2500      0.993498     1.048781e+15
 5001.2600      0.993653     1.048775e+15
 5001.2700      0.993785     1.048770e+15
 5001.2800      0.993895     1.048765e+15
 5001.2900      0.993984     1.048760e+15
 5001.3000      0.994053     1.048754e+15
 5001.3100      0.994102     1.048749e+15
 5001.3200      0.994131     1.048744e+15
 5001.3300      0.994140     1.048739e+15
 5001.3400      0.994128     1.048734e+15
 5001.3500      0.994096     1.048728e+15
 5001.3600      0.994040     1.048723e+15
 5001.3700      0.993960     1.048718e+15
 5001.3800      0.993853     1.048713e+15
 5001.3900      0.993716     1.048708e+15
 5001.4000      0.993546     1.048702e+15
 5001.4100      0.993336     1.048697e+15
 5001.4200      0.993080     1.048692e+15
 5001.4300      0.992769     1.048687e+15
