# Korg.jl synthesize() Result - Atmospheric Structure
# Generated: 2025-08-06T22:15:22.413
# Parameters: Teff=5780 K, logg=4.44, [M/H]=0.0
#
# Layer  ElectronDensity(cm⁻³)
    1     3.658639e+10
    2     4.684722e+10
    3     6.005416e+10
    4     7.691873e+10
    5     9.841140e+10
    6     1.257638e+11
    7     1.605390e+11
    8     2.047096e+11
    9     2.607747e+11
   10     3.318423e+11
   11     4.217893e+11
   12     4.754866e+11
   13     5.358180e+11
   14     6.036562e+11
   15     6.799706e+11
   16     7.657977e+11
   17     8.623112e+11
   18     9.709307e+11
   19     1.093171e+12
   20     1.230948e+12
   21     1.386291e+12
   22     1.561792e+12
   23     1.760426e+12
   24     1.985687e+12
   25     2.241765e+12
   26     2.533916e+12
   27     2.868039e+12
   28     3.254196e+12
   29     3.698978e+12
   30     4.216538e+12
   31     4.825834e+12
   32     5.549589e+12
   33     6.427249e+12
   34     7.514792e+12
   35     8.904931e+12
   36     1.076092e+13
   37     1.333755e+13
   38     1.709688e+13
   39     2.280228e+13
   40     3.172780e+13
   41     4.601786e+13
   42     6.942050e+13
   43     1.080453e+14
   44     1.760236e+14
   45     2.958766e+14
   46     4.664522e+14
   47     6.710635e+14
   48     8.983732e+14
   49     1.143821e+15
   50     1.406669e+15
   51     1.688257e+15
   52     2.311987e+15
   53     3.057003e+15
   54     3.960696e+15
   55     5.071769e+15
   56     6.454812e+15
