# Korg.jl synthesize() Result - Opacity Matrix Summary
# Generated: 2025-08-06T22:15:22.656
# Matrix shape: (56, 20001) (layers × wavelengths)
# Opacity range: 2.034912725866908e-12 - 0.000975875305506091 cm⁻¹
#
# Layer statistics (min, max, mean opacity per layer):
# Layer    MinOpacity      MaxOpacity      MeanOpacity
    1  2.034913e-12  6.170366e-07  5.588167e-10
    2  3.106699e-12  8.807854e-07  7.877961e-10
    3  4.732472e-12  1.221962e-06  1.080025e-09
    4  7.233595e-12  1.689830e-06  1.477270e-09
    5  1.109112e-11  2.335134e-06  2.021066e-09
    6  1.705181e-11  3.228353e-06  2.768855e-09
    7  2.627899e-11  4.469031e-06  3.801593e-09
    8  4.057948e-11  6.195019e-06  5.231159e-09
    9  6.276949e-11  8.601511e-06  7.215940e-09
   10  9.722140e-11  1.196449e-05  9.979986e-09
   11  1.507776e-10  1.668981e-05  1.385320e-08
   12  1.877754e-10  1.969262e-05  1.631119e-08
   13  2.339258e-10  2.326366e-05  1.923217e-08
   14  2.914648e-10  2.749410e-05  2.269096e-08
   15  3.631756e-10  3.249312e-05  2.677755e-08
   16  4.525663e-10  3.840695e-05  3.161262e-08
   17  5.639686e-10  4.539604e-05  3.732946e-08
   18  7.027537e-10  5.362988e-05  4.407049e-08
   19  8.756320e-10  6.332497e-05  5.201820e-08
   20  1.090844e-09  7.467864e-05  6.134353e-08
   21  1.358618e-09  8.794042e-05  7.226354e-08
   22  1.691633e-09  1.033367e-04  8.498375e-08
   23  2.105447e-09  1.210899e-04  9.971501e-08
   24  2.619156e-09  1.414000e-04  1.166612e-07
   25  3.256375e-09  1.644398e-04  1.360181e-07
   26  4.045845e-09  1.902428e-04  1.578889e-07
   27  5.023312e-09  2.188874e-04  1.824311e-07
   28  6.230401e-09  2.495262e-04  2.090960e-07
   29  7.723253e-09  2.827401e-04  2.384835e-07
   30  9.565299e-09  3.175763e-04  2.700118e-07
   31  1.183702e-08  3.528344e-04  3.029307e-07
   32  1.465099e-08  3.879979e-04  3.370703e-07
   33  1.815485e-08  4.214409e-04  3.714201e-07
   34  2.256600e-08  4.526506e-04  4.059382e-07
   35  2.821834e-08  4.814210e-04  4.409521e-07
   36  3.565739e-08  5.079035e-04  4.773252e-07
   37  4.575674e-08  5.345273e-04  5.181479e-07
   38  5.995915e-08  5.629309e-04  5.665407e-07
   39  8.052448e-08  5.954013e-04  6.270466e-07
   40  1.109020e-07  6.334426e-04  7.048599e-07
   41  1.562485e-07  6.769297e-04  8.055967e-07
   42  2.238581e-07  7.243680e-04  9.359645e-07
   43  3.247744e-07  7.730572e-04  1.105463e-06
   44  4.830700e-07  8.185415e-04  1.336300e-06
   45  7.311010e-07  8.556210e-04  1.657756e-06
   46  1.055325e-06  8.817555e-04  2.049582e-06
   47  1.426331e-06  8.992818e-04  2.480925e-06
   48  1.831156e-06  9.114838e-04  2.940999e-06
   49  2.269478e-06  9.206797e-04  3.432283e-06
   50  2.743827e-06  9.281866e-04  3.959128e-06
   51  3.262301e-06  9.348935e-04  4.531526e-06
   52  4.468924e-06  9.395025e-04  5.853918e-06
   53  6.020619e-06  9.499807e-04  7.546031e-06
   54  8.073375e-06  9.596541e-04  9.772610e-06
   55  1.085325e-05  9.684189e-04  1.277349e-05
   56  1.469953e-05  9.758753e-04  1.690790e-05
#
# Wavelength statistics (min, max, mean opacity per wavelength):
# WaveIndex  Wavelength(Å)   MinOpacity      MaxOpacity      MeanOpacity
       1     5000.0000  2.058296e-12  1.554937e-05  1.088827e-06
     201     5002.0000  2.067898e-12  1.562288e-05  1.093938e-06
     401     5004.0000  5.803886e-11  1.608171e-05  1.248110e-06
     601     5006.0000  2.283064e-12  1.555466e-05  1.091821e-06
     801     5008.0000  2.197640e-12  1.580781e-05  1.113020e-06
    1001     5010.0000  4.477248e-12  1.553783e-05  1.107815e-06
    1201     5012.0000  2.071303e-12  1.546656e-05  1.087436e-06
    1401     5014.0000  2.118237e-12  1.486913e-05  1.069225e-06
    1601     5016.0000  4.114855e-12  1.475530e-05  1.061312e-06
    1801     5018.0000  4.697054e-12  1.482391e-05  1.065223e-06
    2001     5020.0000  7.626492e-12  1.565518e-05  1.159392e-06
    2201     5022.0000  2.085647e-12  1.491409e-05  1.072833e-06
    2401     5024.0000  2.072654e-12  1.478524e-05  1.060695e-06
    2601     5026.0000  2.054313e-12  1.482984e-05  1.062700e-06
    2801     5028.0000  2.047623e-12  1.483057e-05  1.064846e-06
    3001     5030.0000  2.712656e-12  1.477361e-05  1.059988e-06
    3201     5032.0000  5.201123e-12  1.479216e-05  1.066231e-06
    3401     5034.0000  2.046181e-12  1.478404e-05  1.060451e-06
    3601     5036.0000  2.055107e-12  1.492502e-05  1.070687e-06
    3801     5038.0000  2.113639e-12  1.490335e-05  1.071729e-06
    4001     5040.0000  1.544523e-10  1.523731e-05  1.265694e-06
    4201     5042.0000  4.027857e-11  1.529155e-05  1.095993e-06
    4401     5044.0000  4.293384e-12  1.494883e-05  1.071552e-06
    4601     5046.0000  2.043764e-12  1.483201e-05  1.063253e-06
    4801     5048.0000  3.295253e-12  1.484026e-05  1.064089e-06
    5001     5050.0000  2.091239e-12  1.504079e-05  1.078787e-06
    5201     5052.0000  5.305114e-12  1.493809e-05  1.070549e-06
    5401     5054.0000  1.940356e-11  1.557020e-05  1.105481e-06
    5601     5056.0000  3.424105e-12  1.501017e-05  1.080215e-06
    5801     5058.0000  2.035097e-12  1.503050e-05  1.072894e-06
    6001     5060.0000  2.035540e-12  1.491054e-05  1.067925e-06
    6201     5062.0000  2.035703e-12  1.491488e-05  1.068371e-06
    6401     5064.0000  2.036111e-12  1.495747e-05  1.071290e-06
    6601     5066.0000  4.227379e-11  1.535269e-05  1.150239e-06
    6801     5068.0000  2.042170e-12  1.499495e-05  1.073774e-06
    7001     5070.0000  2.321912e-12  1.510760e-05  1.086255e-06
    7201     5072.0000  2.039666e-12  1.501661e-05  1.075917e-06
    7401     5074.0000  2.129500e-12  1.531090e-05  1.118112e-06
    7601     5076.0000  7.132269e-12  1.571922e-05  1.132124e-06
    7801     5078.0000  7.479263e-11  1.504240e-05  1.084444e-06
    8001     5080.0000  2.126258e-12  1.512528e-05  1.082518e-06
    8201     5082.0000  3.660588e-11  1.723775e-05  1.466210e-06
    8401     5084.0000  2.054706e-12  1.514966e-05  1.087530e-06
    8601     5086.0000  2.042382e-12  1.514262e-05  1.090428e-06
    8801     5088.0000  5.039035e-12  1.508731e-05  1.080645e-06
    9001     5090.0000  4.435576e-12  1.522441e-05  1.100176e-06
    9201     5092.0000  2.088737e-12  1.572902e-05  1.128145e-06
    9401     5094.0000  2.038637e-12  1.511457e-05  1.081369e-06
    9601     5096.0000  2.120972e-12  1.516127e-05  1.085404e-06
    9801     5098.0000  2.056477e-12  1.521106e-05  1.087843e-06
   10001     5100.0000  5.394594e-10  1.753940e-05  1.934157e-06
   10201     5102.0000  2.076770e-12  1.518729e-05  1.087000e-06
   10401     5104.0000  6.025413e-12  1.518589e-05  1.088782e-06
   10601     5106.0000  2.050919e-12  1.519777e-05  1.087479e-06
   10801     5108.0000  2.561316e-11  1.520118e-05  1.091632e-06
   11001     5110.0000  2.236513e-12  1.523950e-05  1.092235e-06
   11201     5112.0000  2.179614e-12  1.521759e-05  1.089351e-06
   11401     5114.0000  2.046131e-12  1.520690e-05  1.087216e-06
   11601     5116.0000  4.013350e-11  1.522958e-05  1.092580e-06
   11801     5118.0000  2.309180e-12  1.523072e-05  1.088949e-06
   12001     5120.0000  2.056685e-12  1.524133e-05  1.089600e-06
   12201     5122.0000  8.013503e-12  1.526025e-05  1.092235e-06
   12401     5124.0000  2.069046e-12  1.528714e-05  1.092704e-06
   12601     5126.0000  2.881110e-12  1.562163e-05  1.117017e-06
   12801     5128.0000  2.094798e-12  1.548259e-05  1.116629e-06
   13001     5130.0000  2.104165e-12  1.533198e-05  1.096170e-06
   13201     5132.0000  4.477043e-11  1.536532e-05  1.107041e-06
   13401     5134.0000  2.155061e-12  1.542682e-05  1.102376e-06
   13601     5136.0000  2.111447e-12  1.548476e-05  1.106041e-06
   13801     5138.0000  2.132596e-12  1.539029e-05  1.099861e-06
   14001     5140.0000  2.563095e-12  1.540132e-05  1.101586e-06
   14201     5142.0000  2.102271e-12  1.538349e-05  1.099548e-06
   14401     5144.0000  2.177355e-10  1.844657e-05  1.932884e-06
   14601     5146.0000  4.561163e-11  1.537526e-05  1.104255e-06
   14801     5148.0000  2.288290e-12  1.608307e-05  1.181906e-06
   15001     5150.0000  2.076912e-12  1.573368e-05  1.123544e-06
   15201     5152.0000  3.932949e-11  1.540482e-05  1.105105e-06
   15401     5154.0000  2.051459e-12  1.541211e-05  1.100138e-06
   15601     5156.0000  2.055274e-12  1.545030e-05  1.102911e-06
   15801     5158.0000  3.104152e-11  1.546471e-05  1.107907e-06
   16001     5160.0000  2.458272e-11  1.551683e-05  1.110905e-06
   16201     5162.0000  2.052431e-12  1.552823e-05  1.107666e-06
   16401     5164.0000  3.985724e-12  1.611989e-05  1.185655e-06
   16601     5166.0000  6.401842e-11  1.579848e-05  1.193677e-06
   16801     5168.0000  2.504807e-12  1.581658e-05  1.138086e-06
   17001     5170.0000  2.621985e-12  1.592342e-05  1.147167e-06
   17201     5172.0000  2.525792e-12  1.573937e-05  1.125946e-06
   17401     5174.0000  4.521161e-11  5.774742e-05  5.332871e-06
   17601     5176.0000  2.222504e-12  1.566511e-05  1.121521e-06
