wavelength_angstrom,opacity_cm_minus_1
5000.0,1.0106468266285542e-15
5000.1,1.011112187203361e-15
5000.2,1.0115778692707972e-15
5000.3,1.0120438731270636e-15
5000.4,1.0125101990687047e-15
5000.5,1.0129768473926058e-15
5000.6,1.0134438183960017e-15
5000.7,1.013911112376461e-15
5000.8,1.0143787296318956e-15
5000.9,1.0148466704605706e-15
5001.0,1.015314935161085e-15
5001.1,1.0157835240323835e-15
5001.2,1.0162524373737642e-15
5001.3,1.016721675484861e-15
5001.4,1.0171912386656552e-15
5001.5,1.0176611272164825e-15
5001.6,1.0181313414380167e-15
5001.7,1.01860188163128e-15
5001.8,1.0190727480976494e-15
5001.9,1.019543941138843e-15
5002.0,1.0200154610569279e-15
5002.1,1.0204873081543276e-15
5002.2,1.0209594827338083e-15
5002.3,1.0214319850984865e-15
5002.4,1.021904815551837e-15
5002.5,1.0223779743976787e-15
5002.6,1.0228514619401803e-15
5002.7,1.0233252784838731e-15
5002.8,1.0237994243336323e-15
5002.9,1.0242738997946856e-15
5003.0,1.0247487051726238e-15
5003.1,1.025223840773382e-15
5003.2,1.0256993069032524e-15
5003.3,1.0261751038688884e-15
5003.4,1.0266512319772923e-15
5003.5,1.0271276915358215e-15
5003.6,1.0276044828521997e-15
5003.7,1.0280816062344985e-15
5003.8,1.0285590619911499e-15
5003.9,1.0290368504309413e-15
5004.0,1.0295149718630285e-15
5004.1,1.0299934265969165e-15
5004.2,1.03047221494247e-15
5004.3,1.0309513372099235e-15
5004.4,1.0314307937098633e-15
5004.5,1.0319105847532358e-15
5004.6,1.032390710651359e-15
5004.7,1.0328711717159045e-15
5004.8,1.0333519682589047e-15
5004.9,1.0338331005927672e-15
5005.0,1.0343145690302513e-15
5005.1,1.0347963738844819e-15
5005.2,1.0352785154689587e-15
5005.3,1.0357609940975361e-15
5005.4,1.0362438100844333e-15
5005.5,1.0367269637442482e-15
5005.6,1.037210455391934e-15
5005.7,1.0376942853428105e-15
5005.8,1.0381784539125769e-15
5005.9,1.0386629614172896e-15
5006.0,1.0391478081733742e-15
5006.1,1.0396329944976358e-15
5006.2,1.040118520707239e-15
5006.3,1.0406043871197191e-15
5006.4,1.0410905940529928e-15
5006.5,1.041577141825337e-15
5006.6,1.0420640307554013e-15
5006.7,1.0425512611622182e-15
5006.8,1.0430388333651823e-15
5006.9,1.043526747684062e-15
5007.0,1.0440150044390105e-15
5007.1,1.044503603950544e-15
5007.2,1.044992546539559e-15
5007.3,1.045481832527323e-15
5007.4,1.0459714622354897e-15
5007.5,1.0464614359860799e-15
5007.6,1.0469517541014922e-15
5007.7,1.0474424169045119e-15
5007.8,1.047933424718292e-15
5007.9,1.0484247778663664e-15
5008.0,1.048916476672657e-15
5008.1,1.049408521461455e-15
5008.2,1.0499009125574338e-15
5008.3,1.0503936502856554e-15
5008.4,1.0508867349715555e-15
5008.5,1.0513801669409508e-15
5008.6,1.0518739465200501e-15
5008.7,1.0523680740354362e-15
5008.8,1.0528625498140754e-15
5008.9,1.0533573741833273e-15
5009.0,1.0538525474709272e-15
5009.1,1.0543480700049955e-15
5009.2,1.0548439421140473e-15
5009.3,1.0553401641269762e-15
5009.4,1.0558367363730605e-15
5009.5,1.056333659181977e-15
5009.6,1.0568309328837801e-15
5009.7,1.0573285578089142e-15
5009.8,1.0578265342882202e-15
5009.9,1.0583248626529204e-15
5010.0,1.0588235432346272e-15
5010.1,1.0593225763653531e-15
5010.2,1.0598219623774922e-15
5010.3,1.0603217016038303e-15
5010.4,1.0608217943775562e-15
5010.5,1.0613222410322405e-15
5010.6,1.0618230419018525e-15
5010.7,1.0623241973207496e-15
5010.8,1.0628257076236959e-15
5010.9,1.0633275731458403e-15
5011.0,1.0638297942227265e-15
5011.1,1.0643323711903058e-15
5011.2,1.064835304384916e-15
5011.3,1.0653385941432907e-15
5011.4,1.065842240802574e-15
5011.5,1.0663462447002979e-15
5011.6,1.0668506061743915e-15
5011.7,1.0673553255631961e-15
5011.8,1.0678604032054427e-15
5011.9,1.0683658394402612e-15
5012.0,1.0688716346071954e-15
5012.1,1.0693777890461808e-15
5012.2,1.0698843030975526e-15
5012.3,1.0703911771020633e-15
5012.4,1.0708984114008556e-15
5012.5,1.0714060063354777e-15
5012.6,1.0719139622478946e-15
5012.7,1.0724222794804623e-15
5012.8,1.0729309583759463e-15
5012.9,1.0734399992775286e-15
5013.0,1.073949402528786e-15
5013.1,1.074459168473705e-15
5013.2,1.0749692974566905e-15
5013.3,1.075479789822545e-15
5013.4,1.0759906459164803e-15
5013.5,1.0765018660841305e-15
5013.6,1.0770134506715274e-15
5013.7,1.0775254000251162e-15
5013.8,1.0780377144917634e-15
5013.9,1.078550394418737e-15
5014.0,1.0790634401537184e-15
5014.1,1.0795768520448137e-15
5014.2,1.0800906304405317e-15
5014.3,1.0806047756897997e-15
5014.4,1.0811192881419575e-15
5014.5,1.08163416814677e-15
